candidate_id,parent_id,threshold,Kdot,accessibility,quadrature,T,K_FP,status,zero_fraction,AK,ceiling_fraction,stress_cap_fraction,AT,sensitivity_definition
P25_TJBS_S_014188,P25_TRANSFER_V1_RANK1,LN2,0.0005,FRACTURE_ACCESSIBLE,FINAL_20000_POINT_LOG_K,300.0,4.5918131928951045,FIRST_PASSAGE,1.1402579897457593e-77,156.30426137616405,0.0,0.0,-17.37078286706002,A_T=-A_K*dln(K_FP)/dln(T)
P25_TJBS_S_014188,P25_TRANSFER_V1_RANK1,LN2,0.0005,FRACTURE_ACCESSIBLE,FINAL_20000_POINT_LOG_K,325.0,4.632841880117711,FIRST_PASSAGE,5.423265409320955e-71,122.98631722399816,0.0,0.0,-15.643193015648045,A_T=-A_K*dln(K_FP)/dln(T)
P25_TJBS_S_014188,P25_TRANSFER_V1_RANK1,LN2,0.0005,FRACTURE_ACCESSIBLE,FINAL_20000_POINT_LOG_K,350.0,4.681874432563933,FIRST_PASSAGE,2.87664019402708e-65,94.4816211102936,0.0,0.0,-15.565395157583144,A_T=-A_K*dln(K_FP)/dln(T)
P25_TJBS_S_014188,P25_TRANSFER_V1_RANK1,LN2,0.0005,FRACTURE_ACCESSIBLE,FINAL_20000_POINT_LOG_K,375.0,4.742297060988294,FIRST_PASSAGE,2.6413945999562234e-60,70.05506063048331,0.0,0.0,-15.405354715169246,A_T=-A_K*dln(K_FP)/dln(T)
P25_TJBS_S_014188,P25_TRANSFER_V1_RANK1,LN2,0.0005,FRACTURE_ACCESSIBLE,FINAL_20000_POINT_LOG_K,400.0,4.819976672665548,FIRST_PASSAGE,5.84246166568446e-56,49.726246326443515,0.0,0.0,-15.118611767879605,A_T=-A_K*dln(K_FP)/dln(T)
P25_TJBS_S_014188,P25_TRANSFER_V1_RANK1,LN2,0.0005,FRACTURE_ACCESSIBLE,FINAL_20000_POINT_LOG_K,425.0,4.924284305373437,FIRST_PASSAGE,4.011271503608947e-52,33.82824521715482,0.0,0.0,-14.522541101780718,A_T=-A_K*dln(K_FP)/dln(T)
P25_TJBS_S_014188,P25_TRANSFER_V1_RANK1,LN2,0.0005,FRACTURE_ACCESSIBLE,FINAL_20000_POINT_LOG_K,450.0,5.06736425348606,FIRST_PASSAGE,1.0419424518067113e-48,23.046983844021646,0.0,0.0,-13.492427963246477,A_T=-A_K*dln(K_FP)/dln(T)
P25_TJBS_S_014188,P25_TRANSFER_V1_RANK1,LN2,0.0005,FRACTURE_ACCESSIBLE,FINAL_20000_POINT_LOG_K,475.0,5.2529332279435,FIRST_PASSAGE,1.1952754075595164e-45,17.36514491955324,0.0,0.0,-12.410392901831717,A_T=-A_K*dln(K_FP)/dln(T)
P25_TJBS_S_014188,P25_TRANSFER_V1_RANK1,LN2,0.0005,FRACTURE_ACCESSIBLE,FINAL_20000_POINT_LOG_K,500.0,5.462200263595014,FIRST_PASSAGE,6.823980350092904e-43,15.201618958029215,0.0,0.0,-11.561518502964397,A_T=-A_K*dln(K_FP)/dln(T)
P25_TJBS_S_014188,P25_TRANSFER_V1_RANK1,LN2,0.0005,FRACTURE_ACCESSIBLE,FINAL_20000_POINT_LOG_K,525.0,5.668416407194263,FIRST_PASSAGE,2.1321672541663784e-40,14.759052750068058,0.0,0.0,-10.765631541956704,A_T=-A_K*dln(K_FP)/dln(T)
P25_TJBS_S_014188,P25_TRANSFER_V1_RANK1,LN2,0.0005,FRACTURE_ACCESSIBLE,FINAL_20000_POINT_LOG_K,550.0,5.856235114659014,FIRST_PASSAGE,3.9475896665329287e-38,15.062750137582624,0.0,0.0,-9.975578026251872,A_T=-A_K*dln(K_FP)/dln(T)
P25_TJBS_S_014188,P25_TRANSFER_V1_RANK1,LN2,0.0005,FRACTURE_ACCESSIBLE,FINAL_20000_POINT_LOG_K,575.0,6.021358967770557,FIRST_PASSAGE,4.6325292507993525e-36,15.681342088426616,0.0,0.0,-9.229291790728126,A_T=-A_K*dln(K_FP)/dln(T)
P25_TJBS_S_014188,P25_TRANSFER_V1_RANK1,LN2,0.0005,FRACTURE_ACCESSIBLE,FINAL_20000_POINT_LOG_K,600.0,6.164793552278777,FIRST_PASSAGE,3.647552027312308e-34,16.420913768160954,0.0,0.0,-8.551712150372872,A_T=-A_K*dln(K_FP)/dln(T)
P25_TJBS_S_014188,P25_TRANSFER_V1_RANK1,LN2,0.0005,FRACTURE_ACCESSIBLE,FINAL_20000_POINT_LOG_K,625.0,6.289281107454744,FIRST_PASSAGE,2.0219319089535873e-32,17.19239258201237,0.0,0.0,-7.947248367553258,A_T=-A_K*dln(K_FP)/dln(T)
P25_TJBS_S_014188,P25_TRANSFER_V1_RANK1,LN2,0.0005,FRACTURE_ACCESSIBLE,FINAL_20000_POINT_LOG_K,650.0,6.397715602901505,FIRST_PASSAGE,8.218737744276779e-31,17.952133307994842,0.0,0.0,-7.411968829000106,A_T=-A_K*dln(K_FP)/dln(T)
P25_TJBS_S_014188,P25_TRANSFER_V1_RANK1,LN2,0.0005,FRACTURE_ACCESSIBLE,FINAL_20000_POINT_LOG_K,675.0,6.492766543597743,FIRST_PASSAGE,2.536217693941214e-29,18.683683786015852,0.0,0.0,-6.938765062266831,A_T=-A_K*dln(K_FP)/dln(T)
