parent_id,cleavage_zero_target_eV,status,gate_score,sigc_GPa,alpha,exponent,floor_fraction,nfev,at_bound,rms,maximum,global_change,local_change
P25_TRANSFER_V1_RANK1,1.0,SINGLE_EXP_CANNOT_SEPARATE_LOW_STRESS_SCALE_AND_FATIGUE_WINDOW,1.558248450071127,5.456067238934693,2.6581717125983233,0.25000000000000006,0.37122141258903363,36,True,0.009206658606813274,0.013647557575429218,-0.04987001273441738,0.46747453502133807
P25_TRANSFER_V1_RANK1,1.25,SINGLE_EXP_CANNOT_SEPARATE_LOW_STRESS_SCALE_AND_FATIGUE_WINDOW,1.9417540709482894,5.864442672263361,3.2079123270013845,0.25000000000000006,0.30223956389921874,25,True,0.01245464966386739,0.01956134503044062,-0.06456730054146487,0.5825262212844868
P25_TRANSFER_V1_RANK1,1.5,SINGLE_EXP_CANNOT_SEPARATE_LOW_STRESS_SCALE_AND_FATIGUE_WINDOW,2.2056701041816584,4.6194226239279335,3.3599604137305445,0.25000000000000006,0.2542512009640064,25,True,0.015042560758968053,0.026150276317930377,-0.07705518077851492,0.6617010312544975
P25_TRANSFER_V1_RANK1,1.75,SINGLE_EXP_CANNOT_SEPARATE_LOW_STRESS_SCALE_AND_FATIGUE_WINDOW,2.4047928243819845,0.9331332471042378,2.4285327205609635,0.25000000000000006,0.2192568321452422,30,True,0.01712443479148157,0.031312001388902125,-0.0878024918476843,0.7214378473145953
P25_TRANSFER_V1_RANK1,2.0,SINGLE_EXP_CANNOT_SEPARATE_LOW_STRESS_SCALE_AND_FATIGUE_WINDOW,2.5635840630865543,3.9235338689116146,3.6834135243713955,0.25000000000000006,0.19268144612664198,23,True,0.01885149163801165,0.03554849790845232,-0.09721403444684773,0.7690752189259662
P40_TRANSFER_CALIBRATED_GEN2,1.0,SINGLE_EXP_CANNOT_SEPARATE_LOW_STRESS_SCALE_AND_FATIGUE_WINDOW,1.6800317745412545,6.232027968464269,2.146514162913331,0.25000000000000006,0.33339546913319595,29,True,0.01094309147127688,0.01709343191218437,-0.05852208243983226,0.5040095323623763
P40_TRANSFER_CALIBRATED_GEN2,1.25,SINGLE_EXP_CANNOT_SEPARATE_LOW_STRESS_SCALE_AND_FATIGUE_WINDOW,2.31232576548661,0.9281488287382789,1.6607599484240427,0.25000000000000006,0.27916951125412803,47,True,0.013627879150773618,0.020146330770193288,-0.07553974338907565,0.693697729645983
P40_TRANSFER_CALIBRATED_GEN2,1.5,SINGLE_EXP_CANNOT_SEPARATE_LOW_STRESS_SCALE_AND_FATIGUE_WINDOW,2.7469466883992086,1.9914091241226268,2.2914856326346733,0.25000000000000006,0.2378506960925945,41,True,0.01694171640849264,0.024607357141837156,-0.09130308072333593,0.8240840065197625
P40_TRANSFER_CALIBRATED_GEN2,1.75,SINGLE_EXP_CANNOT_SEPARATE_LOW_STRESS_SCALE_AND_FATIGUE_WINDOW,3.0747899482299346,1.0598450978816039,2.143266334159722,0.25000000000000006,0.20664647967242333,38,True,0.01989357928576194,0.031212665752985324,-0.10544117178847134,0.9224369844689804
P40_TRANSFER_CALIBRATED_GEN2,2.0,SINGLE_EXP_CANNOT_SEPARATE_LOW_STRESS_SCALE_AND_FATIGUE_WINDOW,3.3362696097226716,4.739781671852116,3.33711073192361,0.25000000000000006,0.18250531276999232,24,True,0.022440975958182428,0.037789482041936114,-0.11813471558603483,1.0008808829168014
