protocol,Kmax_Pa_sqrt_m,S_h_dynamic,ceiling_static_S_h,ceiling_static_reproduction_fraction,orbit_matched_static_S_h,orbit_matched_static_reproduction_fraction,classification
D2,12000000.0,-1.190247585901405,-1.1904886211322747,1.0002025084811974,-0.27107419788684284,0.22774605980952392,MIXED_STATIC_SHIELDING_AND_KINETIC_HISTORY
D2,15000000.0,-0.12593677594792968,-0.12680770044480927,1.006915569263419,-0.03276648421432156,0.2601820156795924,MIXED_STATIC_SHIELDING_AND_KINETIC_HISTORY
D2,18000000.0,-0.0435803582695874,-0.04441265262068267,1.0190979235633335,-0.01335094176780787,0.306352271939096,MIXED_STATIC_SHIELDING_AND_KINETIC_HISTORY
D2,21000000.0,-0.027322813315269555,-0.027745199395542312,1.0154590991564072,-0.008868086519900441,0.32456710872245526,MIXED_STATIC_SHIELDING_AND_KINETIC_HISTORY
D2,24300000.0,-0.019688210372243064,-0.0200405673176567,1.017896849878768,-0.006669085372771095,0.33873497116697515,MIXED_STATIC_SHIELDING_AND_KINETIC_HISTORY
D5,12000000.0,-1.1902023788617737,-1.1904886211322747,1.0002404988223723,-0.2643387667757986,0.2220956464803857,MIXED_STATIC_SHIELDING_AND_KINETIC_HISTORY
D5,15000000.0,-0.1260044756006598,-0.12680770044480927,1.0063745739214462,-0.03366472197271349,0.2671708430373977,MIXED_STATIC_SHIELDING_AND_KINETIC_HISTORY
D5,18000000.0,-0.04363093463566765,-0.04441265262068267,1.0179165995764845,-0.014348849138454555,0.3288687088248754,MIXED_STATIC_SHIELDING_AND_KINETIC_HISTORY
D5,21000000.0,-0.027300440627894502,-0.027745199395542312,1.016291267005902,-0.009934888765095741,0.3639094658034445,MIXED_STATIC_SHIELDING_AND_KINETIC_HISTORY
D5,24300000.0,-0.01968113610902707,-0.0200405673176567,1.0182627266352153,-0.007798888639307391,0.3962621159725787,MIXED_STATIC_SHIELDING_AND_KINETIC_HISTORY
