campaign_of_record,canonical_job_key,protocol,registry_status,controller_status,final_disposition,note,campaigns_referencing
PX3_screen,499012e9db9e705ab9b36a5838857a17cf61271fe7aceecad36deb73662dcf84,7.4_reversible_vs_persistent,AUTHORIZED_PX3,COMPLETE,ADMITTED,,PX3_screen;PX4_developed
PX3_screen,d9652e0e960e5fe878f7d6df0a61ea257cd343dbaef4fba47af48048cbc79895,7.4_reversible_vs_persistent,AUTHORIZED_PX3,COMPLETE,ADMITTED,,PX3_screen;PX4_developed
PX3_screen,405ea308df2e40942e799754ce1ef58fd76c3d8368fe82a6a41fe63a026cadf0,7.4_reversible_vs_persistent_at_transition,AUTHORIZED_PX3,COMPLETE,ADMITTED,,PX3_screen
PX3_screen,5beb4b72022143074a2e92105dd15e2029c780621a656f2d8ea62e5aa099181d,7.4_reversible_vs_persistent_at_transition,AUTHORIZED_PX3,COMPLETE,ADMITTED,,PX3_screen
PX3_screen,ff847dca66090087e3e3a5faa0ab6a119bb50b351c62d206eccea118018bb607,7.5_passivation_chemistry,AUTHORIZED_PX3,COMPLETE,ADMITTED,,PX3_screen;PX4_developed
PX3_screen,54dc38d52bd09adab75769859a6050ef6ae0dfb0d86a63b33ae6da2065688024,7.5_passivation_chemistry,AUTHORIZED_PX3,COMPLETE,ADMITTED,,PX3_screen;PX4_developed
PX3_screen,781ea89d8f45711f754d58c866863111f6c85661f7233cea8b4cca1cb1e0669e,7.5_passivation_chemistry,AUTHORIZED_PX3,COMPLETE,ADMITTED,,PX3_screen
PX3_screen,4719c647660d16d98b25477b20b2d71fcc3ad4a617c22825bc60e9487b795c85,7.5_passivation_chemistry,AUTHORIZED_PX3,COMPLETE,ADMITTED,,PX3_screen
PX3_screen,13f04e3eccae7f0165d25f4f58152bbeb2665b26b3759250d016ea37cd842388,7.5_passivation_chemistry,AUTHORIZED_PX3,COMPLETE,ADMITTED,,PX3_screen
PX3_screen,15050cb8209c08e788e2327e82eb5dba788654b26280a908a1a7f25c0480dfd6,7.5_passivation_chemistry,AUTHORIZED_PX3,COMPLETE,ADMITTED,,PX3_screen
PX3_screen,34a8afa9d28567ebd109ed65c26c4f2eb1b01d0376b03ef173567b9dc181b976,7.6_cohesive_strength,AUTHORIZED_PX3,COMPLETE,ADMITTED,,PX3_screen
PX3_screen,7aaa06ace5c212ac772a52df896db094e1a90fcf806eaeb7828868e394f3fb9d,7.6_cohesive_strength,AUTHORIZED_PX3,COMPLETE,ADMITTED,,PX3_screen
PX4_developed,de0e3e9c4f36427c5fbdf6a9602db9e11eee4ae42b4cb664f8a5fbec0bee8c98,D1,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
PX4_developed,5369cd8928d1ac46602e106cc1a63b428e0cf86aad024cc5bb9a402a37bccc49,D1,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
PX4_developed,5c227ccbf33c3ff2da1a000c4a54d70a5d5fd568bc8142addf45b3b73b1390fe,D1,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
PX4_developed,7e70210b8f4ab56ef61b82cc6595353b13e626c3a27dddb4a25a25ead515e62c,D1,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
PX4_developed,8eb2adc0ea2054adda20eac1b1612d93b8a3c6e906b58ec250a408356f1931fc,D1,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
PX4_developed,e71b63e3fee180485ed4d5c8c4efb1cbc7ad1a5639b68bc1cc618d2892b00dc2,D1,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
PX4_developed,aab2d4224c3912d8cbc72551eaafcf3078e2a1f62ae0704259d84b6d22977055,D1,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
PX4_developed,09a9617b7e212b6f66840f724a3f004e1691108e56f3a788ecf8ace70890365b,D1,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
PX4_developed,eb75943e869ac94dd49fc561c1e83a12f8828db13a3026bdb42eb83a7954a302,D2,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
PX4_developed,9ea28a1529877ad528774209345cdc18ee5306e92941e2d6b17a6a1ea1ba84bb,D2,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
PX4_developed,a6fb71e30fb1511d73fd5ba7ce0e38f3a24e04d0944e71b076d391451d1394de,D2,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
PX4_developed,3ba6f4bd558a8dbd6b914b81fb26a77a0172f320e786ecbf95d2f4157b36c8ff,D2,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
PX4_developed,9b780af5e7ba60536b728cbb3c7b343db148b49b152ee016da8c5665cabbdb0c,D2,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
PX4_developed,1abb2ac0899790fded62faaaf63182efbc80b679210ec51917f0c0510f953edf,D2,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
PX4_developed,42348cf95208defcc6c110b655b7c4146f39bccad08f5079c8db8a4288a627fb,D2,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
PX4_developed,1351eea1a85d23ea9b646531026c06ff3113eeb24b6b790e468b88f01030b9eb,D2,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
PX4_developed,e4392b21fef0d97c75fa0307491366e8f4fbeedb2818b48b0e42e3f6d6acad4e,D3,BLOCKED_PENDING_PX3_FREQUENCY_GATE,,NOT_LAUNCHED_BLOCKED,,PX4_developed
PX4_developed,56c6e683ff32b09726ffa9274fd8f6a0d3184425297a2dd707d84c6db02a4041,D3,BLOCKED_PENDING_PX3_FREQUENCY_GATE,,NOT_LAUNCHED_BLOCKED,,PX4_developed
PX4_developed,98dcfcf8930f489ea08f546be0fcb16d16880c5ede45319b9a0649a1b30fef86,D3,BLOCKED_PENDING_PX3_FREQUENCY_GATE,,NOT_LAUNCHED_BLOCKED,,PX4_developed
PX4_developed,eaa2b726b9a3a37a28640f560437e0d9e105aad392b8c6ef8f887d4396cbebd8,D3,BLOCKED_PENDING_PX3_FREQUENCY_GATE,,NOT_LAUNCHED_BLOCKED,,PX4_developed
PX4_developed,92ad4a9d221bc2b66182022fbf985dc13d056a92511728c647afc91150039ab3,D3,BLOCKED_PENDING_PX3_FREQUENCY_GATE,,NOT_LAUNCHED_BLOCKED,,PX4_developed
PX4_developed,3c7deea8343e2b8b437ea4c86f3998c184fe849f364a5bc9665d888697c6dbaa,D3,BLOCKED_PENDING_PX3_FREQUENCY_GATE,,NOT_LAUNCHED_BLOCKED,,PX4_developed
PX4_developed,b4f3ece7158684b01addbf42a0585caa86cb5a7cc3e4f756d8924abb39872307,D3,BLOCKED_PENDING_PX3_FREQUENCY_GATE,,NOT_LAUNCHED_BLOCKED,,PX4_developed
PX4_developed,ba6b2890d058bb21457b99d32a1929d76c9316135744de4687f7db3545e22ebf,D3,BLOCKED_PENDING_PX3_FREQUENCY_GATE,,NOT_LAUNCHED_BLOCKED,,PX4_developed
PX4_developed,b7f9c44f10aa504d12272bc39b9f13e2c2e256cba42d8a4713c850a17d0d1238,D4,BLOCKED_DWELL_GATE_NOT_SATISFIED,,NOT_LAUNCHED_BLOCKED,,PX4_developed
