visible_curve_label,internal_parameterization_id,campaign,branch,commit,source_table,physical_source_bundle_hash,Kmax_MPa_sqrt_m,R,DeltaK_applied_MPa_sqrt_m,tensile_only_range_MPa_sqrt_m,temperature_K,frequency_Hz,seed,da_dN_m_per_cycle,developed_window_definition,stationarity_result,censor_exclusion_state,parameterization_category,notes
"A_NATIVE, R=0.5",A_NATIVE,A_NATIVE/PT03/PT08 R-ratio and nominal-DeltaK study,codex/v10.2.30-R-ratio-nominal-deltaK,7e90c27a895c9f705d1071c2be39ca0ca62a73c1,1A_PT03_PT08_R_developed_points.csv,659bf6e416abc219e854b3d753a056edc925da7f9959a7af6773821d078cea95,12.0,0.5,6.0,6.0,300.0,1000.0,1720,3.306377746419489e-08,stationary-window developed rate (stationarity_ratio=0.9865757706417024),STABLE,PHYSICAL_TARGET_REACHED,baseline,stage=PRIMARY; job_id=primary__A_NATIVE__R0.5__Kmax12__seed1720
"PT03, R=0.5",A_PT_03_oneD_v2_dbtt_TP_4895f9e5b44deea5,A_NATIVE/PT03/PT08 R-ratio and nominal-DeltaK study,codex/v10.2.30-R-ratio-nominal-deltaK,7e90c27a895c9f705d1071c2be39ca0ca62a73c1,1A_PT03_PT08_R_developed_points.csv,6eeb596c0fd79dbc940107eb9806b9ad9b3f15328b9858dd729a23ef1c55d60b,12.0,0.5,6.0,6.0,300.0,1000.0,1720,3.3255846704902044e-08,stationary-window developed rate (stationarity_ratio=0.9840869739206054),STABLE,PHYSICAL_TARGET_REACHED,PT substitution,stage=PRIMARY; job_id=primary__A_PT_03_oneD_v2_dbtt_TP_4895f9e5b44deea5__R0.5__Kmax12__seed1720
"PT08, R=0.5",A_PT_08_oneD_v2_dbtt_TP_f2817e7998cb7be6,A_NATIVE/PT03/PT08 R-ratio and nominal-DeltaK study,codex/v10.2.30-R-ratio-nominal-deltaK,7e90c27a895c9f705d1071c2be39ca0ca62a73c1,1A_PT03_PT08_R_developed_points.csv,dfbf87038a937593b9ba6e78351287807ab19d36ade45f10cfaccaf179a9ae9e,12.0,0.5,6.0,6.0,300.0,1000.0,1720,3.3063777464194783e-08,stationary-window developed rate (stationarity_ratio=0.9865757706416952),STABLE,PHYSICAL_TARGET_REACHED,PT substitution,stage=PRIMARY; job_id=primary__A_PT_08_oneD_v2_dbtt_TP_f2817e7998cb7be6__R0.5__Kmax12__seed1720
"A_NATIVE, R=0.5",A_NATIVE,A_NATIVE/PT03/PT08 R-ratio and nominal-DeltaK study,codex/v10.2.30-R-ratio-nominal-deltaK,7e90c27a895c9f705d1071c2be39ca0ca62a73c1,1A_PT03_PT08_R_developed_points.csv,659bf6e416abc219e854b3d753a056edc925da7f9959a7af6773821d078cea95,15.0,0.5,7.5,7.5,300.0,1000.0,1720,4.112239358063364e-07,stationary-window developed rate (stationarity_ratio=0.9007033385428089),STABLE,PHYSICAL_TARGET_REACHED,baseline,stage=PRIMARY; job_id=primary__A_NATIVE__R0.5__Kmax15__seed1720
"PT03, R=0.5",A_PT_03_oneD_v2_dbtt_TP_4895f9e5b44deea5,A_NATIVE/PT03/PT08 R-ratio and nominal-DeltaK study,codex/v10.2.30-R-ratio-nominal-deltaK,7e90c27a895c9f705d1071c2be39ca0ca62a73c1,1A_PT03_PT08_R_developed_points.csv,6eeb596c0fd79dbc940107eb9806b9ad9b3f15328b9858dd729a23ef1c55d60b,15.0,0.5,7.5,7.5,300.0,1000.0,1720,4.131153280236592e-07,stationary-window developed rate (stationarity_ratio=0.9092059673160352),STABLE,PHYSICAL_TARGET_REACHED,PT substitution,stage=PRIMARY; job_id=primary__A_PT_03_oneD_v2_dbtt_TP_4895f9e5b44deea5__R0.5__Kmax15__seed1720
"PT08, R=0.5",A_PT_08_oneD_v2_dbtt_TP_f2817e7998cb7be6,A_NATIVE/PT03/PT08 R-ratio and nominal-DeltaK study,codex/v10.2.30-R-ratio-nominal-deltaK,7e90c27a895c9f705d1071c2be39ca0ca62a73c1,1A_PT03_PT08_R_developed_points.csv,dfbf87038a937593b9ba6e78351287807ab19d36ade45f10cfaccaf179a9ae9e,15.0,0.5,7.5,7.5,300.0,1000.0,1720,4.112239356202027e-07,stationary-window developed rate (stationarity_ratio=0.9007033352915395),STABLE,PHYSICAL_TARGET_REACHED,PT substitution,stage=PRIMARY; job_id=primary__A_PT_08_oneD_v2_dbtt_TP_f2817e7998cb7be6__R0.5__Kmax15__seed1720
"A_NATIVE, R=0.5",A_NATIVE,A_NATIVE/PT03/PT08 R-ratio and nominal-DeltaK study,codex/v10.2.30-R-ratio-nominal-deltaK,7e90c27a895c9f705d1071c2be39ca0ca62a73c1,1A_PT03_PT08_R_developed_points.csv,659bf6e416abc219e854b3d753a056edc925da7f9959a7af6773821d078cea95,18.0,0.5,9.0,9.0,300.0,1000.0,1720,6.280078515012372e-07,stationary-window developed rate (stationarity_ratio=0.9167100220792972),STABLE,PHYSICAL_TARGET_REACHED,baseline,stage=PRIMARY; job_id=primary__A_NATIVE__R0.5__Kmax18__seed1720
"PT03, R=0.5",A_PT_03_oneD_v2_dbtt_TP_4895f9e5b44deea5,A_NATIVE/PT03/PT08 R-ratio and nominal-DeltaK study,codex/v10.2.30-R-ratio-nominal-deltaK,7e90c27a895c9f705d1071c2be39ca0ca62a73c1,1A_PT03_PT08_R_developed_points.csv,6eeb596c0fd79dbc940107eb9806b9ad9b3f15328b9858dd729a23ef1c55d60b,18.0,0.5,9.0,9.0,300.0,1000.0,1720,6.380369169766065e-07,stationary-window developed rate (stationarity_ratio=0.9261373464190725),STABLE,PHYSICAL_TARGET_REACHED,PT substitution,stage=PRIMARY; job_id=primary__A_PT_03_oneD_v2_dbtt_TP_4895f9e5b44deea5__R0.5__Kmax18__seed1720
"PT08, R=0.5",A_PT_08_oneD_v2_dbtt_TP_f2817e7998cb7be6,A_NATIVE/PT03/PT08 R-ratio and nominal-DeltaK study,codex/v10.2.30-R-ratio-nominal-deltaK,7e90c27a895c9f705d1071c2be39ca0ca62a73c1,1A_PT03_PT08_R_developed_points.csv,dfbf87038a937593b9ba6e78351287807ab19d36ade45f10cfaccaf179a9ae9e,18.0,0.5,9.0,9.0,300.0,1000.0,1720,6.280226040318344e-07,stationary-window developed rate (stationarity_ratio=0.9166991790839032),STABLE,PHYSICAL_TARGET_REACHED,PT substitution,stage=PRIMARY; job_id=primary__A_PT_08_oneD_v2_dbtt_TP_f2817e7998cb7be6__R0.5__Kmax18__seed1720
"A_NATIVE, R=0.5",A_NATIVE,A_NATIVE/PT03/PT08 R-ratio and nominal-DeltaK study,codex/v10.2.30-R-ratio-nominal-deltaK,7e90c27a895c9f705d1071c2be39ca0ca62a73c1,1A_PT03_PT08_R_developed_points.csv,659bf6e416abc219e854b3d753a056edc925da7f9959a7af6773821d078cea95,24.0,0.5,12.0,12.0,300.0,1000.0,1720,8.260345729450752e-07,stationary-window developed rate (stationarity_ratio=0.9025132739787152),STABLE,PHYSICAL_TARGET_REACHED,baseline,stage=PRIMARY; job_id=primary__A_NATIVE__R0.5__Kmax24__seed1720
"PT03, R=0.5",A_PT_03_oneD_v2_dbtt_TP_4895f9e5b44deea5,A_NATIVE/PT03/PT08 R-ratio and nominal-DeltaK study,codex/v10.2.30-R-ratio-nominal-deltaK,7e90c27a895c9f705d1071c2be39ca0ca62a73c1,1A_PT03_PT08_R_developed_points.csv,6eeb596c0fd79dbc940107eb9806b9ad9b3f15328b9858dd729a23ef1c55d60b,24.0,0.5,12.0,12.0,300.0,1000.0,1720,8.519508786134757e-07,stationary-window developed rate (stationarity_ratio=0.9022485321568703),STABLE,PHYSICAL_TARGET_REACHED,PT substitution,stage=PRIMARY; job_id=primary__A_PT_03_oneD_v2_dbtt_TP_4895f9e5b44deea5__R0.5__Kmax24__seed1720
"PT08, R=0.5",A_PT_08_oneD_v2_dbtt_TP_f2817e7998cb7be6,A_NATIVE/PT03/PT08 R-ratio and nominal-DeltaK study,codex/v10.2.30-R-ratio-nominal-deltaK,7e90c27a895c9f705d1071c2be39ca0ca62a73c1,1A_PT03_PT08_R_developed_points.csv,dfbf87038a937593b9ba6e78351287807ab19d36ade45f10cfaccaf179a9ae9e,24.0,0.5,12.0,12.0,300.0,1000.0,1720,8.270907994793303e-07,stationary-window developed rate (stationarity_ratio=0.9022258649822619),STABLE,PHYSICAL_TARGET_REACHED,PT substitution,stage=PRIMARY; job_id=primary__A_PT_08_oneD_v2_dbtt_TP_f2817e7998cb7be6__R0.5__Kmax24__seed1720
"A_NATIVE, R=0.1",A_NATIVE,A_NATIVE/PT03/PT08 R-ratio and nominal-DeltaK study,codex/v10.2.30-R-ratio-nominal-deltaK,f99693632376a5e0308e8e112e9cd1c36a0692f6,1A_PT03_PT08_R_developed_points.csv,659bf6e416abc219e854b3d753a056edc925da7f9959a7af6773821d078cea95,12.0,0.1,10.8,10.8,300.0,1000.0,1720,2.448159884833225e-08,stationary-window developed rate (stationarity_ratio=0.9875154106236836),STABLE,REUSED_PHYSICAL_TARGET_REACHED,baseline,stage=PRIMARY_REUSE; job_id=primary__A_NATIVE__R0.1__Kmax12__seed1720
"PT03, R=0.1",A_PT_03_oneD_v2_dbtt_TP_4895f9e5b44deea5,A_NATIVE/PT03/PT08 R-ratio and nominal-DeltaK study,codex/v10.2.30-R-ratio-nominal-deltaK,f99693632376a5e0308e8e112e9cd1c36a0692f6,1A_PT03_PT08_R_developed_points.csv,6eeb596c0fd79dbc940107eb9806b9ad9b3f15328b9858dd729a23ef1c55d60b,12.0,0.1,10.8,10.8,300.0,1000.0,1720,2.4609091747657e-08,stationary-window developed rate (stationarity_ratio=0.9840260020376133),STABLE,REUSED_PHYSICAL_TARGET_REACHED,PT substitution,stage=PRIMARY_REUSE; job_id=primary__A_PT_03_oneD_v2_dbtt_TP_4895f9e5b44deea5__R0.1__Kmax12__seed1720
"PT08, R=0.1",A_PT_08_oneD_v2_dbtt_TP_f2817e7998cb7be6,A_NATIVE/PT03/PT08 R-ratio and nominal-DeltaK study,codex/v10.2.30-R-ratio-nominal-deltaK,f99693632376a5e0308e8e112e9cd1c36a0692f6,1A_PT03_PT08_R_developed_points.csv,dfbf87038a937593b9ba6e78351287807ab19d36ade45f10cfaccaf179a9ae9e,12.0,0.1,10.8,10.8,300.0,1000.0,1720,2.448159884796169e-08,stationary-window developed rate (stationarity_ratio=0.9875154106282913),STABLE,REUSED_PHYSICAL_TARGET_REACHED,PT substitution,stage=PRIMARY_REUSE; job_id=primary__A_PT_08_oneD_v2_dbtt_TP_f2817e7998cb7be6__R0.1__Kmax12__seed1720
"A_NATIVE, R=0.1",A_NATIVE,A_NATIVE/PT03/PT08 R-ratio and nominal-DeltaK study,codex/v10.2.30-R-ratio-nominal-deltaK,f99693632376a5e0308e8e112e9cd1c36a0692f6,1A_PT03_PT08_R_developed_points.csv,659bf6e416abc219e854b3d753a056edc925da7f9959a7af6773821d078cea95,15.0,0.1,13.5,13.5,300.0,1000.0,1720,3.003481684450034e-07,stationary-window developed rate (stationarity_ratio=0.9194833287829696),STABLE,REUSED_PHYSICAL_TARGET_REACHED,baseline,stage=PRIMARY_REUSE; job_id=primary__A_NATIVE__R0.1__Kmax15__seed1720
"PT03, R=0.1",A_PT_03_oneD_v2_dbtt_TP_4895f9e5b44deea5,A_NATIVE/PT03/PT08 R-ratio and nominal-DeltaK study,codex/v10.2.30-R-ratio-nominal-deltaK,f99693632376a5e0308e8e112e9cd1c36a0692f6,1A_PT03_PT08_R_developed_points.csv,6eeb596c0fd79dbc940107eb9806b9ad9b3f15328b9858dd729a23ef1c55d60b,15.0,0.1,13.5,13.5,300.0,1000.0,1720,3.0071066200467e-07,stationary-window developed rate (stationarity_ratio=0.9192751735644015),STABLE,REUSED_PHYSICAL_TARGET_REACHED,PT substitution,stage=PRIMARY_REUSE; job_id=primary__A_PT_03_oneD_v2_dbtt_TP_4895f9e5b44deea5__R0.1__Kmax15__seed1720
"PT08, R=0.1",A_PT_08_oneD_v2_dbtt_TP_f2817e7998cb7be6,A_NATIVE/PT03/PT08 R-ratio and nominal-DeltaK study,codex/v10.2.30-R-ratio-nominal-deltaK,f99693632376a5e0308e8e112e9cd1c36a0692f6,1A_PT03_PT08_R_developed_points.csv,dfbf87038a937593b9ba6e78351287807ab19d36ade45f10cfaccaf179a9ae9e,15.0,0.1,13.5,13.5,300.0,1000.0,1720,3.0034855640925616e-07,stationary-window developed rate (stationarity_ratio=0.9194833275258125),STABLE,REUSED_PHYSICAL_TARGET_REACHED,PT substitution,stage=PRIMARY_REUSE; job_id=primary__A_PT_08_oneD_v2_dbtt_TP_f2817e7998cb7be6__R0.1__Kmax15__seed1720
"A_NATIVE, R=0.1",A_NATIVE,A_NATIVE/PT03/PT08 R-ratio and nominal-DeltaK study,codex/v10.2.30-R-ratio-nominal-deltaK,f99693632376a5e0308e8e112e9cd1c36a0692f6,1A_PT03_PT08_R_developed_points.csv,659bf6e416abc219e854b3d753a056edc925da7f9959a7af6773821d078cea95,18.0,0.1,16.2,16.2,300.0,1000.0,1720,4.473410023231299e-07,stationary-window developed rate (stationarity_ratio=0.9107076981123243),STABLE,REUSED_PHYSICAL_TARGET_REACHED,baseline,stage=PRIMARY_REUSE; job_id=primary__A_NATIVE__R0.1__Kmax18__seed1720
"PT03, R=0.1",A_PT_03_oneD_v2_dbtt_TP_4895f9e5b44deea5,A_NATIVE/PT03/PT08 R-ratio and nominal-DeltaK study,codex/v10.2.30-R-ratio-nominal-deltaK,f99693632376a5e0308e8e112e9cd1c36a0692f6,1A_PT03_PT08_R_developed_points.csv,6eeb596c0fd79dbc940107eb9806b9ad9b3f15328b9858dd729a23ef1c55d60b,18.0,0.1,16.2,16.2,300.0,1000.0,1720,4.488329793367937e-07,stationary-window developed rate (stationarity_ratio=0.9101588639903299),STABLE,REUSED_PHYSICAL_TARGET_REACHED,PT substitution,stage=PRIMARY_REUSE; job_id=primary__A_PT_03_oneD_v2_dbtt_TP_4895f9e5b44deea5__R0.1__Kmax18__seed1720
