visible_curve_label,internal_parameterization_id,K_mid_MPa_sqrt_m,m_local
"A_NATIVE, R=0.5",A_NATIVE,13.4164,11.2963
"A_NATIVE, R=0.5",A_NATIVE,16.4317,2.3224
"A_NATIVE, R=0.5",A_NATIVE,20.7846,0.9527
"PT03, R=0.5",A_PT_03_oneD_v2_dbtt_TP_4895f9e5b44deea5,13.4164,11.2909
"PT03, R=0.5",A_PT_03_oneD_v2_dbtt_TP_4895f9e5b44deea5,16.4317,2.3841
"PT03, R=0.5",A_PT_03_oneD_v2_dbtt_TP_4895f9e5b44deea5,20.7846,1.005
"PT08, R=0.5",A_PT_08_oneD_v2_dbtt_TP_f2817e7998cb7be6,13.4164,11.2963
"PT08, R=0.5",A_PT_08_oneD_v2_dbtt_TP_f2817e7998cb7be6,16.4317,2.3225
"PT08, R=0.5",A_PT_08_oneD_v2_dbtt_TP_f2817e7998cb7be6,20.7846,0.9571
"A_NATIVE, R=0.1",A_NATIVE,13.4164,11.235
"A_NATIVE, R=0.1",A_NATIVE,16.4317,2.185
"A_NATIVE, R=0.1",A_NATIVE,20.7846,0.7687
"PT03, R=0.1",A_PT_03_oneD_v2_dbtt_TP_4895f9e5b44deea5,13.4164,11.2171
"PT03, R=0.1",A_PT_03_oneD_v2_dbtt_TP_4895f9e5b44deea5,16.4317,2.1967
"PT03, R=0.1",A_PT_03_oneD_v2_dbtt_TP_4895f9e5b44deea5,20.7846,0.8183
"PT08, R=0.1",A_PT_08_oneD_v2_dbtt_TP_f2817e7998cb7be6,13.4164,11.235
"PT08, R=0.1",A_PT_08_oneD_v2_dbtt_TP_f2817e7998cb7be6,16.4317,2.1851
"PT08, R=0.1",A_PT_08_oneD_v2_dbtt_TP_f2817e7998cb7be6,20.7846,0.7707
"A_NATIVE, R=-0.95",A_NATIVE,13.4164,11.1707
"A_NATIVE, R=-0.95",A_NATIVE,16.4317,2.119
"A_NATIVE, R=-0.95",A_NATIVE,20.7846,0.7174
"PT03, R=-0.95",A_PT_03_oneD_v2_dbtt_TP_4895f9e5b44deea5,13.4164,11.158
"PT03, R=-0.95",A_PT_03_oneD_v2_dbtt_TP_4895f9e5b44deea5,16.4317,2.1562
"PT03, R=-0.95",A_PT_03_oneD_v2_dbtt_TP_4895f9e5b44deea5,20.7846,0.7456
"PT08, R=-0.95",A_PT_08_oneD_v2_dbtt_TP_f2817e7998cb7be6,13.4164,11.1707
"PT08, R=-0.95",A_PT_08_oneD_v2_dbtt_TP_f2817e7998cb7be6,16.4317,2.119
"PT08, R=-0.95",A_PT_08_oneD_v2_dbtt_TP_f2817e7998cb7be6,20.7846,0.7185
"D1 (COMPETING_REVERSIBLE, R=-0.95, 1000 Hz)",D1/COMPETING_REVERSIBLE,13.4164,21.2677
"D1 (COMPETING_REVERSIBLE, R=-0.95, 1000 Hz)",D1/COMPETING_REVERSIBLE,16.4317,3.0565
"D1 (COMPETING_REVERSIBLE, R=-0.95, 1000 Hz)",D1/COMPETING_REVERSIBLE,19.4422,1.2869
"D1 (COMPETING_REVERSIBLE, R=-0.95, 1000 Hz)",D1/COMPETING_REVERSIBLE,22.5898,0.8331
D1 zero-cohesion baseline,D1/COMPETING_REVERSIBLE,13.4164,10.2814
D1 zero-cohesion baseline,D1/COMPETING_REVERSIBLE,16.4317,2.0158
