state_id,r_eff_over_r0,opening_strength_fraction,crack_extension_m,region,system,bin,x_m,burgers_sign,delta_signed_line_content,K_I_base_Pa_sqrt_m,K_I_perturbed_Pa_sqrt_m,K_II_base_Pa_sqrt_m,K_II_perturbed_Pa_sqrt_m,interaction_integral_schema,ribbon_width_m,mesh_area_ratio,parent_state_id,load_scale,captured_opening_strength_fraction,scaled_opening_proxy,cumulative_crack_path_extension_m
E0000415__load_0p5,1.0,0.0,0.00041500000000000006,active,0,0,3.125e-07,-1,-0.25,6871.632354512809,6875.0722650155985,5911.488857350939,5915.129609832324,v10.2.14_signed_intrinsic_isotropy_interaction_integral,2.5455991833799507e-08,0.9940084883819743,E0000415,0.5,0.0,0.0,0.00041500000000000006
E0000415__load_0p5,1.0,0.0,0.00041500000000000006,active,0,0,3.125e-07,-1,-0.5,6871.632354512809,6878.51217551858,5911.488857350939,5918.770362313844,v10.2.14_signed_intrinsic_isotropy_interaction_integral,2.5455991833799507e-08,0.9940084883819743,E0000415,0.5,0.0,0.0,0.00041500000000000006
E0000415__load_0p5,1.0,0.0,0.00041500000000000006,active,0,0,3.125e-07,1,0.25,6871.632354512809,6868.192444009611,5911.488857350939,5907.848104869261,v10.2.14_signed_intrinsic_isotropy_interaction_integral,2.5455991833799507e-08,0.9940084883819743,E0000415,0.5,0.0,0.0,0.00041500000000000006
E0000415__load_0p5,1.0,0.0,0.00041500000000000006,active,0,0,3.125e-07,1,0.5,6871.632354512809,6864.752533506623,5911.488857350939,5904.207352387741,v10.2.14_signed_intrinsic_isotropy_interaction_integral,2.5455991833799507e-08,0.9940084883819743,E0000415,0.5,0.0,0.0,0.00041500000000000006
E0000415__load_0p5,1.0,0.0,0.00041500000000000006,active,0,79,4.96875e-05,-1,-0.25,6871.632354512809,6640.413602910458,5911.488857350939,6593.434911467885,v10.2.14_signed_intrinsic_isotropy_interaction_integral,2.5455991833799507e-08,0.9999623175369955,E0000415,0.5,0.0,0.0,0.00041500000000000006
E0000415__load_0p5,1.0,0.0,0.00041500000000000006,active,0,79,4.96875e-05,-1,-0.5,6871.632354512809,6409.194851308318,5911.488857350939,7275.380965584991,v10.2.14_signed_intrinsic_isotropy_interaction_integral,2.5455991833799507e-08,0.9999623175369955,E0000415,0.5,0.0,0.0,0.00041500000000000006
E0000415__load_0p5,1.0,0.0,0.00041500000000000006,active,0,79,4.96875e-05,1,0.25,6871.632354512809,7102.851106114735,5911.488857350939,5229.542803233689,v10.2.14_signed_intrinsic_isotropy_interaction_integral,2.5455991833799507e-08,0.9999623175369955,E0000415,0.5,0.0,0.0,0.00041500000000000006
E0000415__load_0p5,1.0,0.0,0.00041500000000000006,active,0,79,4.96875e-05,1,0.5,6871.632354512809,7334.069857716876,5911.488857350939,4547.596749116593,v10.2.14_signed_intrinsic_isotropy_interaction_integral,2.5455991833799507e-08,0.9999623175369955,E0000415,0.5,0.0,0.0,0.00041500000000000006
E0000415__load_0p5,1.0,0.0,0.00041500000000000006,active,1,0,3.125e-07,-1,-0.25,6871.632354512809,6868.385666028966,5911.488857350939,5913.980592613815,v10.2.14_signed_intrinsic_isotropy_interaction_integral,2.5455991833799507e-08,0.9985869789781898,E0000415,0.5,0.0,0.0,0.00041500000000000006
E0000415__load_0p5,1.0,0.0,0.00041500000000000006,active,1,0,3.125e-07,-1,-0.5,6871.632354512809,6865.138977545345,5911.488857350939,5916.472327876829,v10.2.14_signed_intrinsic_isotropy_interaction_integral,2.5455991833799507e-08,0.9985869789781898,E0000415,0.5,0.0,0.0,0.00041500000000000006
E0000415__load_0p5,1.0,0.0,0.00041500000000000006,active,1,0,3.125e-07,1,0.25,6871.632354512809,6874.879042996218,5911.488857350939,5908.99712208777,v10.2.14_signed_intrinsic_isotropy_interaction_integral,2.5455991833799507e-08,0.9985869789781898,E0000415,0.5,0.0,0.0,0.00041500000000000006
E0000415__load_0p5,1.0,0.0,0.00041500000000000006,active,1,0,3.125e-07,1,0.5,6871.632354512809,6878.125731479865,5911.488857350939,5906.505386824752,v10.2.14_signed_intrinsic_isotropy_interaction_integral,2.5455991833799507e-08,0.9985869789781898,E0000415,0.5,0.0,0.0,0.00041500000000000006
E0000415__load_0p5,1.0,0.0,0.00041500000000000006,active,1,79,4.96875e-05,-1,-0.25,6871.632354512809,7081.311052144719,5911.488857350939,6550.007262130079,v10.2.14_signed_intrinsic_isotropy_interaction_integral,2.5455991833799507e-08,0.9999911130753394,E0000415,0.5,0.0,0.0,0.00041500000000000006
E0000415__load_0p5,1.0,0.0,0.00041500000000000006,active,1,79,4.96875e-05,-1,-0.5,6871.632354512809,7290.9897497768625,5911.488857350939,7188.525666909356,v10.2.14_signed_intrinsic_isotropy_interaction_integral,2.5455991833799507e-08,0.9999911130753394,E0000415,0.5,0.0,0.0,0.00041500000000000006
E0000415__load_0p5,1.0,0.0,0.00041500000000000006,active,1,79,4.96875e-05,1,0.25,6871.632354512809,6661.953656880469,5911.488857350939,5272.970452571506,v10.2.14_signed_intrinsic_isotropy_interaction_integral,2.5455991833799507e-08,0.9999911130753394,E0000415,0.5,0.0,0.0,0.00041500000000000006
E0000415__load_0p5,1.0,0.0,0.00041500000000000006,active,1,79,4.96875e-05,1,0.5,6871.632354512809,6452.2749592483415,5911.488857350939,4634.452047792212,v10.2.14_signed_intrinsic_isotropy_interaction_integral,2.5455991833799507e-08,0.9999911130753394,E0000415,0.5,0.0,0.0,0.00041500000000000006
E0000415__load_1,1.0,0.0,0.00041500000000000006,active,0,0,3.125e-07,-1,-0.25,13743.264709025194,13746.704619528186,11822.977714701594,11826.618467183105,v10.2.14_signed_intrinsic_isotropy_interaction_integral,2.5455991833799507e-08,0.9940084883819743,E0000415,1.0,0.0,0.0,0.00041500000000000006
E0000415__load_1,1.0,0.0,0.00041500000000000006,active,0,0,3.125e-07,-1,-0.5,13743.264709025194,13750.144530031179,11822.977714701594,11830.259219664646,v10.2.14_signed_intrinsic_isotropy_interaction_integral,2.5455991833799507e-08,0.9940084883819743,E0000415,1.0,0.0,0.0,0.00041500000000000006
E0000415__load_1,1.0,0.0,0.00041500000000000006,active,0,0,3.125e-07,1,0.25,13743.264709025194,13739.824798522191,11822.977714701594,11819.336962220055,v10.2.14_signed_intrinsic_isotropy_interaction_integral,2.5455991833799507e-08,0.9940084883819743,E0000415,1.0,0.0,0.0,0.00041500000000000006
E0000415__load_1,1.0,0.0,0.00041500000000000006,active,0,0,3.125e-07,1,0.5,13743.264709025194,13736.38488801917,11822.977714701594,11815.696209738513,v10.2.14_signed_intrinsic_isotropy_interaction_integral,2.5455991833799507e-08,0.9940084883819743,E0000415,1.0,0.0,0.0,0.00041500000000000006
E0000415__load_1,1.0,0.0,0.00041500000000000006,active,0,79,4.96875e-05,-1,-0.25,13743.264709025194,13512.04595742305,11822.977714701594,12504.923768818675,v10.2.14_signed_intrinsic_isotropy_interaction_integral,2.5455991833799507e-08,0.9999623175369955,E0000415,1.0,0.0,0.0,0.00041500000000000006
E0000415__load_1,1.0,0.0,0.00041500000000000006,active,0,79,4.96875e-05,-1,-0.5,13743.264709025194,13280.827205820919,11822.977714701594,13186.86982293579,v10.2.14_signed_intrinsic_isotropy_interaction_integral,2.5455991833799507e-08,0.9999623175369955,E0000415,1.0,0.0,0.0,0.00041500000000000006
E0000415__load_1,1.0,0.0,0.00041500000000000006,active,0,79,4.96875e-05,1,0.25,13743.264709025194,13974.483460627316,11822.977714701594,11141.031660584487,v10.2.14_signed_intrinsic_isotropy_interaction_integral,2.5455991833799507e-08,0.9999623175369955,E0000415,1.0,0.0,0.0,0.00041500000000000006
E0000415__load_1,1.0,0.0,0.00041500000000000006,active,0,79,4.96875e-05,1,0.5,13743.264709025194,14205.702212229486,11822.977714701594,10459.085606467388,v10.2.14_signed_intrinsic_isotropy_interaction_integral,2.5455991833799507e-08,0.9999623175369955,E0000415,1.0,0.0,0.0,0.00041500000000000006
E0000415__load_1,1.0,0.0,0.00041500000000000006,active,1,0,3.125e-07,-1,-0.25,13743.264709025194,13740.01802054157,11822.977714701594,11825.469449964607,v10.2.14_signed_intrinsic_isotropy_interaction_integral,2.5455991833799507e-08,0.9985869789781898,E0000415,1.0,0.0,0.0,0.00041500000000000006
E0000415__load_1,1.0,0.0,0.00041500000000000006,active,1,0,3.125e-07,-1,-0.5,13743.264709025194,13736.771332057913,11822.977714701594,11827.961185227634,v10.2.14_signed_intrinsic_isotropy_interaction_integral,2.5455991833799507e-08,0.9985869789781898,E0000415,1.0,0.0,0.0,0.00041500000000000006
E0000415__load_1,1.0,0.0,0.00041500000000000006,active,1,0,3.125e-07,1,0.25,13743.264709025194,13746.511397508822,11822.977714701594,11820.485979438554,v10.2.14_signed_intrinsic_isotropy_interaction_integral,2.5455991833799507e-08,0.9985869789781898,E0000415,1.0,0.0,0.0,0.00041500000000000006
E0000415__load_1,1.0,0.0,0.00041500000000000006,active,1,0,3.125e-07,1,0.5,13743.264709025194,13749.758085992418,11822.977714701594,11817.99424417556,v10.2.14_signed_intrinsic_isotropy_interaction_integral,2.5455991833799507e-08,0.9985869789781898,E0000415,1.0,0.0,0.0,0.00041500000000000006
E0000415__load_1,1.0,0.0,0.00041500000000000006,active,1,79,4.96875e-05,-1,-0.25,13743.264709025194,13952.94340665734,11822.977714701594,12461.496119480867,v10.2.14_signed_intrinsic_isotropy_interaction_integral,2.5455991833799507e-08,0.9999911130753394,E0000415,1.0,0.0,0.0,0.00041500000000000006
E0000415__load_1,1.0,0.0,0.00041500000000000006,active,1,79,4.96875e-05,-1,-0.5,13743.264709025194,14162.622104289438,11822.977714701594,13100.014524260147,v10.2.14_signed_intrinsic_isotropy_interaction_integral,2.5455991833799507e-08,0.9999911130753394,E0000415,1.0,0.0,0.0,0.00041500000000000006
E0000415__load_1,1.0,0.0,0.00041500000000000006,active,1,79,4.96875e-05,1,0.25,13743.264709025194,13533.586011393005,11822.977714701594,11184.459309922297,v10.2.14_signed_intrinsic_isotropy_interaction_integral,2.5455991833799507e-08,0.9999911130753394,E0000415,1.0,0.0,0.0,0.00041500000000000006
E0000415__load_1,1.0,0.0,0.00041500000000000006,active,1,79,4.96875e-05,1,0.5,13743.264709025194,13323.907313760941,11822.977714701594,10545.940905143,v10.2.14_signed_intrinsic_isotropy_interaction_integral,2.5455991833799507e-08,0.9999911130753394,E0000415,1.0,0.0,0.0,0.00041500000000000006
E0000415__load_1p5,1.0,0.0,0.00041500000000000006,active,0,0,3.125e-07,-1,-0.25,20614.897063537603,20618.336974040794,17734.466572052243,17738.10732453395,v10.2.14_signed_intrinsic_isotropy_interaction_integral,2.5455991833799507e-08,0.9940084883819743,E0000415,1.5,0.0,0.0,0.00041500000000000006
E0000415__load_1p5,1.0,0.0,0.00041500000000000006,active,0,0,3.125e-07,-1,-0.5,20614.897063537603,20621.77688454374,17734.466572052243,17741.748077015443,v10.2.14_signed_intrinsic_isotropy_interaction_integral,2.5455991833799507e-08,0.9940084883819743,E0000415,1.5,0.0,0.0,0.00041500000000000006
