state_id,r_eff_over_r0,opening_strength_fraction,crack_extension_m,region,system,bin,x_m,burgers_sign,delta_signed_line_content,K_I_base_Pa_sqrt_m,K_I_perturbed_Pa_sqrt_m,K_II_base_Pa_sqrt_m,K_II_perturbed_Pa_sqrt_m,interaction_integral_schema,ribbon_width_m,mesh_area_ratio
E0000415__load_0p5,1.0,0.0,0.00041500000000000006,active,0,0,3.125e-07,-1,-0.25,6871.632354512809,6875.0722650155985,5911.488857350939,5915.129609832324,v10.2.14_signed_intrinsic_isotropy_interaction_integral,2.5455991833799507e-08,0.9940084883819743
E0000415__load_0p5,1.0,0.0,0.00041500000000000006,active,0,0,3.125e-07,-1,-0.5,6871.632354512809,6878.51217551858,5911.488857350939,5918.770362313844,v10.2.14_signed_intrinsic_isotropy_interaction_integral,2.5455991833799507e-08,0.9940084883819743
E0000415__load_0p5,1.0,0.0,0.00041500000000000006,active,0,0,3.125e-07,1,0.25,6871.632354512809,6868.192444009611,5911.488857350939,5907.848104869261,v10.2.14_signed_intrinsic_isotropy_interaction_integral,2.5455991833799507e-08,0.9940084883819743
E0000415__load_0p5,1.0,0.0,0.00041500000000000006,active,0,0,3.125e-07,1,0.5,6871.632354512809,6864.752533506623,5911.488857350939,5904.207352387741,v10.2.14_signed_intrinsic_isotropy_interaction_integral,2.5455991833799507e-08,0.9940084883819743
E0000415__load_0p5,1.0,0.0,0.00041500000000000006,active,0,79,4.96875e-05,-1,-0.25,6871.632354512809,6640.413602910458,5911.488857350939,6593.434911467885,v10.2.14_signed_intrinsic_isotropy_interaction_integral,2.5455991833799507e-08,0.9999623175369955
E0000415__load_0p5,1.0,0.0,0.00041500000000000006,active,0,79,4.96875e-05,-1,-0.5,6871.632354512809,6409.194851308318,5911.488857350939,7275.380965584991,v10.2.14_signed_intrinsic_isotropy_interaction_integral,2.5455991833799507e-08,0.9999623175369955
E0000415__load_0p5,1.0,0.0,0.00041500000000000006,active,0,79,4.96875e-05,1,0.25,6871.632354512809,7102.851106114735,5911.488857350939,5229.542803233689,v10.2.14_signed_intrinsic_isotropy_interaction_integral,2.5455991833799507e-08,0.9999623175369955
E0000415__load_0p5,1.0,0.0,0.00041500000000000006,active,0,79,4.96875e-05,1,0.5,6871.632354512809,7334.069857716876,5911.488857350939,4547.596749116593,v10.2.14_signed_intrinsic_isotropy_interaction_integral,2.5455991833799507e-08,0.9999623175369955
E0000415__load_0p5,1.0,0.0,0.00041500000000000006,active,1,0,3.125e-07,-1,-0.25,6871.632354512809,6868.385666028966,5911.488857350939,5913.980592613815,v10.2.14_signed_intrinsic_isotropy_interaction_integral,2.5455991833799507e-08,0.9985869789781898
E0000415__load_0p5,1.0,0.0,0.00041500000000000006,active,1,0,3.125e-07,-1,-0.5,6871.632354512809,6865.138977545345,5911.488857350939,5916.472327876829,v10.2.14_signed_intrinsic_isotropy_interaction_integral,2.5455991833799507e-08,0.9985869789781898
E0000415__load_0p5,1.0,0.0,0.00041500000000000006,active,1,0,3.125e-07,1,0.25,6871.632354512809,6874.879042996218,5911.488857350939,5908.99712208777,v10.2.14_signed_intrinsic_isotropy_interaction_integral,2.5455991833799507e-08,0.9985869789781898
E0000415__load_0p5,1.0,0.0,0.00041500000000000006,active,1,0,3.125e-07,1,0.5,6871.632354512809,6878.125731479865,5911.488857350939,5906.505386824752,v10.2.14_signed_intrinsic_isotropy_interaction_integral,2.5455991833799507e-08,0.9985869789781898
E0000415__load_0p5,1.0,0.0,0.00041500000000000006,active,1,79,4.96875e-05,-1,-0.25,6871.632354512809,7081.311052144719,5911.488857350939,6550.007262130079,v10.2.14_signed_intrinsic_isotropy_interaction_integral,2.5455991833799507e-08,0.9999911130753394
E0000415__load_0p5,1.0,0.0,0.00041500000000000006,active,1,79,4.96875e-05,-1,-0.5,6871.632354512809,7290.9897497768625,5911.488857350939,7188.525666909356,v10.2.14_signed_intrinsic_isotropy_interaction_integral,2.5455991833799507e-08,0.9999911130753394
E0000415__load_0p5,1.0,0.0,0.00041500000000000006,active,1,79,4.96875e-05,1,0.25,6871.632354512809,6661.953656880469,5911.488857350939,5272.970452571506,v10.2.14_signed_intrinsic_isotropy_interaction_integral,2.5455991833799507e-08,0.9999911130753394
E0000415__load_0p5,1.0,0.0,0.00041500000000000006,active,1,79,4.96875e-05,1,0.5,6871.632354512809,6452.2749592483415,5911.488857350939,4634.452047792212,v10.2.14_signed_intrinsic_isotropy_interaction_integral,2.5455991833799507e-08,0.9999911130753394
