material_class,theta_deg,case_count,initial_onset_mean_MPa_sqrt_m,initial_onset_min_MPa_sqrt_m,initial_onset_max_MPa_sqrt_m,delta_K_reinit_mean_MPa_sqrt_m,delta_K_reinit_finite_case_count,largest_avalanche_fraction_mean,physical_avalanche_count_mean
Peak,0.0,12,46.59103393454868,22.543110037165572,56.38624527458679,,0,1.0,1.0
Peak,15.0,12,40.79547878894,22.49576943184996,48.21480178412183,-0.040547793896273276,1,0.9966040489266281,1.0833333333333333
Peak,30.0,12,28.440908130049248,22.445226271896054,30.96785126055513,1.3415420797489983,3,0.9935612074457634,1.25
Peak,45.0,12,21.026207602290423,19.72257153594995,23.65090928124516,6.130714772179406,6,0.9549197673604878,1.5
DBTT,0.0,12,41.14132759175286,21.745013863763774,56.18816031654793,-1.8624972639557305,8,0.9477852079251295,1.6666666666666667
DBTT,15.0,12,37.263022035383855,21.32367312102817,49.20246159283379,5.744541794625356,10,0.8483135354049743,2.5
DBTT,30.0,12,27.977468022946606,21.182603291793683,32.52524528565024,7.369747332981429,8,0.9014499718657536,3.1666666666666665
DBTT,45.0,12,21.88898201540974,20.58964680731953,23.356551286461535,8.557076942111083,9,0.9285397970555215,3.3333333333333335
weak-T,0.0,12,22.60410927271346,20.5972722539333,23.777332344705204,-2.928556940704607,4,0.9778831569572377,1.4166666666666667
weak-T,15.0,12,20.857730169286185,19.1694381409513,21.868495490411828,-1.6143659386965232,5,0.9077376293459657,1.5833333333333333
weak-T,30.0,12,17.461596742917845,15.955313605026433,19.16725518779332,1.4135051106050387,2,0.9458405558568977,1.25
weak-T,45.0,12,15.855225358948552,14.191300354607566,19.188341909836176,1.9458965332056757,3,0.9775824942206518,1.3333333333333333
ceramic-like,0.0,12,15.411970276316039,13.074507768751278,17.438204914111978,-0.5834087769089846,4,0.9473475300802626,1.3333333333333333
ceramic-like,15.0,12,14.816065623099215,12.556986525668789,16.489519466155908,-0.7969486273560222,8,0.9196646851187821,1.8333333333333333
ceramic-like,30.0,12,13.81752484478116,11.69091061437272,16.10899095248556,0.1966047059112137,4,0.9720272772819291,1.3333333333333333
ceramic-like,45.0,12,13.418001053058221,11.358132928594127,16.102183591686817,0.2842320891405617,5,0.9324926433177545,1.5
