case_id,matrix,material_class,candidate_id,temperature_K,theta_deg,rate_tag,loading_rate_factor,seed,physical_avalanche_index,first_event_transaction_index,last_event_transaction_index,event_transaction_count,start_extension_um,end_extension_um,avalanche_extension_um,onset_opening_m,onset_native_J_J_per_m2,onset_native_KJ_MPa_sqrt_m,target_right_censored,grouping_rule
canonical_single_crack_theta__ceramiclike__T0300K__theta15__rate1x__seed3003621,CANONICAL_SINGLE_CRACK_THETA,ceramic-like,oneD_v2_focused_ceramic_like_0018,300.0,15.0,rate1x,1.0,3003621,0,0,34,35,0.0,220.02698121788634,220.02698121788634,9.078555935416446e-06,532.2385437250855,15.387705163220295,False,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
canonical_single_crack_theta__ceramiclike__T0300K__theta15__rate1x__seed3003621,CANONICAL_SINGLE_CRACK_THETA,ceramic-like,oneD_v2_focused_ceramic_like_0018,300.0,15.0,rate1x,1.0,3003621,1,35,205,171,220.02698121788634,1002.2757963977626,782.2488151798763,1.1163853020708915e-05,493.94633942213716,14.82383529461521,True,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
canonical_single_crack_theta__ceramiclike__T0300K__theta30__rate1x__seed3003621,CANONICAL_SINGLE_CRACK_THETA,ceramic-like,oneD_v2_focused_ceramic_like_0018,300.0,30.0,rate1x,1.0,3003621,0,0,7,8,0.0,53.527698882802696,53.527698882802696,9.090717925413816e-06,531.955053885713,15.38360658829931,False,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
canonical_single_crack_theta__ceramiclike__T0300K__theta30__rate1x__seed3003621,CANONICAL_SINGLE_CRACK_THETA,ceramic-like,oneD_v2_focused_ceramic_like_0018,300.0,30.0,rate1x,1.0,3003621,1,8,202,195,53.527698882802696,1003.1865101046841,949.6588112218814,1.0302422898342295e-05,560.2162988608864,15.786962062132757,True,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
canonical_single_crack_theta__ceramiclike__T0600K__theta15__rate1x__seed3004630,CANONICAL_SINGLE_CRACK_THETA,ceramic-like,oneD_v2_focused_ceramic_like_0018,600.0,15.0,rate1x,1.0,3004630,0,0,7,8,0.0,53.7186369128313,53.7186369128313,9.497088983828958e-06,582.4434813828183,16.097098066216173,False,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
canonical_single_crack_theta__ceramiclike__T0600K__theta15__rate1x__seed3004630,CANONICAL_SINGLE_CRACK_THETA,ceramic-like,oneD_v2_focused_ceramic_like_0018,600.0,15.0,rate1x,1.0,3004630,1,8,12,5,53.7186369128313,67.38875320515736,13.670116292326053,1.0276168760410665e-05,551.2104610212593,15.6595551588174,False,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
canonical_single_crack_theta__ceramiclike__T0600K__theta15__rate1x__seed3004630,CANONICAL_SINGLE_CRACK_THETA,ceramic-like,oneD_v2_focused_ceramic_like_0018,600.0,15.0,rate1x,1.0,3004630,2,13,226,214,67.38875320515736,1001.6097602596433,934.221007054486,1.1852243589620532e-05,554.1881094022552,15.701794783864583,True,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
canonical_single_crack_theta__ceramiclike__T0600K__theta30__rate1x__seed3004630,CANONICAL_SINGLE_CRACK_THETA,ceramic-like,oneD_v2_focused_ceramic_like_0018,600.0,30.0,rate1x,1.0,3004630,0,0,226,227,0.0,1003.6507584315046,1003.6507584315046,9.519373234848106e-06,583.3044431460786,16.10899095248556,True,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
canonical_single_crack_theta__ceramiclike__T0800K__theta15__rate1x__seed3005639,CANONICAL_SINGLE_CRACK_THETA,ceramic-like,oneD_v2_focused_ceramic_like_0018,800.0,15.0,rate1x,1.0,3005639,0,0,19,20,0.0,84.2025367460593,84.2025367460593,9.444509898497936e-06,576.012127057037,16.0079791062647,False,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
canonical_single_crack_theta__ceramiclike__T0800K__theta15__rate1x__seed3005639,CANONICAL_SINGLE_CRACK_THETA,ceramic-like,oneD_v2_focused_ceramic_like_0018,800.0,15.0,rate1x,1.0,3005639,1,20,218,199,84.2025367460593,1009.055383866528,924.8528471204687,1.030155290519849e-05,520.9823279510288,15.224119748400248,True,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
