case_id,matrix,material_class,candidate_id,temperature_K,theta_deg,rate_tag,loading_rate_factor,seed,pf_target_status,oneD_status,comparison_status,pf_initial_onset_native_KJ_MPa_sqrt_m,oneD_initial_onset_native_KJ_MPa_sqrt_m,onset_delta_oneD_minus_PF_MPa_sqrt_m,pf_physical_avalanche_count,oneD_physical_avalanche_count,pf_largest_avalanche_fraction,oneD_largest_avalanche_fraction,pf_maximum_tip_radius_um,oneD_maximum_tip_radius_um,pf_minimum_front_width_um,oneD_minimum_front_width_um,pf_maximum_backstress_GPa,oneD_maximum_backstress_GPa,pf_mobile_state_units,oneD_mobile_state_units,eventwise_K_not_compared_as_R_curve
canonical_theta0_rate__dbtt__T1000K__theta0__rate0p01x__seed1008666,CANONICAL_STRAIN_RATE,DBTT,v913_zeroD_sobol_0202500,1000.0,0.0,rate0p01x,0.01,1008666,TARGET_REACHED,RIGHT_CENSORED_DRIVE_MAP_BOUND,MATCHED_WITH_ONED_DRIVE_MAP_BOUND,53.738805502617694,87.93954818716922,34.20074268455153,2,1,0.949925223762923,1.0,11.764177545828307,316.3213663011244,0.11820009326175408,0.02184041317792944,10.152895803616346,42.98465246708495,signed_burgers_line_count,density_m^-2_not_directly_subtracted,True
canonical_theta0_rate__dbtt__T1050K__theta0__rate0p01x__seed1009675,CANONICAL_STRAIN_RATE,DBTT,v913_zeroD_sobol_0202500,1050.0,0.0,rate0p01x,0.01,1009675,TARGET_REACHED,RIGHT_CENSORED_DRIVE_MAP_BOUND,MATCHED_WITH_ONED_DRIVE_MAP_BOUND,52.57664638274597,87.16579523401263,34.589148851266664,1,3,1.0,0.8461538461538461,13.089557997209845,523.2907674892746,0.11153376427592382,0.01696999779854084,10.7680617880383,66.99244616628108,signed_burgers_line_count,density_m^-2_not_directly_subtracted,True
canonical_theta0_rate__dbtt__T1100K__theta0__rate0p01x__seed1010684,CANONICAL_STRAIN_RATE,DBTT,v913_zeroD_sobol_0202500,1100.0,0.0,rate0p01x,0.01,1010684,TARGET_REACHED,RIGHT_CENSORED_DRIVE_MAP_BOUND,MATCHED_WITH_ONED_DRIVE_MAP_BOUND,52.88258559634904,86.03807647598168,33.155490879632644,1,2,1.0,0.9230769230769231,11.15716308191686,512.2544552238276,0.12168028538686368,0.017152182704474585,9.875393621759205,66.09564455369092,signed_burgers_line_count,density_m^-2_not_directly_subtracted,True
canonical_theta0_rate__dbtt__T1150K__theta0__rate0p01x__seed1011693,CANONICAL_STRAIN_RATE,DBTT,v913_zeroD_sobol_0202500,1150.0,0.0,rate0p01x,0.01,1011693,TARGET_REACHED,RIGHT_CENSORED_DRIVE_MAP_BOUND,MATCHED_WITH_ONED_DRIVE_MAP_BOUND,52.015239940312924,84.90176049694782,32.88652055663489,2,2,0.9491872511856909,0.8888888888888888,13.183358777541766,429.3727093735474,0.1111036336092568,0.018738159257839157,10.815990338794007,49.11769311703775,signed_burgers_line_count,density_m^-2_not_directly_subtracted,True
canonical_theta0_rate__dbtt__T1200K__theta0__rate0p01x__seed1012702,CANONICAL_STRAIN_RATE,DBTT,v913_zeroD_sobol_0202500,1200.0,0.0,rate0p01x,0.01,1012702,TARGET_REACHED,RIGHT_CENSORED_DRIVE_MAP_BOUND,MATCHED_WITH_ONED_DRIVE_MAP_BOUND,51.43947430546182,83.7831408218395,32.343666516377674,2,2,0.9427840648548417,0.8888888888888888,11.29715854050209,410.044629592081,0.1208504215838884,0.019175753563438737,9.943633778033254,48.132775274898044,signed_burgers_line_count,density_m^-2_not_directly_subtracted,True
canonical_theta0_rate__dbtt__T1250K__theta0__rate0p01x__seed1013711,CANONICAL_STRAIN_RATE,DBTT,v913_zeroD_sobol_0202500,1250.0,0.0,rate0p01x,0.01,1013711,TARGET_REACHED,RIGHT_CENSORED_DRIVE_MAP_BOUND,MATCHED_WITH_ONED_DRIVE_MAP_BOUND,51.35190748604309,82.66910600381175,31.31719851776866,2,2,0.7995868022516854,0.8888888888888888,12.266194774065573,395.18589904583837,0.1155369689056998,0.019533821506173474,10.398448571596685,47.35180734544937,signed_burgers_line_count,density_m^-2_not_directly_subtracted,True
canonical_theta0_rate__dbtt__T1300K__theta0__rate0p01x__seed1014720,CANONICAL_STRAIN_RATE,DBTT,v913_zeroD_sobol_0202500,1300.0,0.0,rate0p01x,0.01,1014720,TARGET_REACHED,RIGHT_CENSORED_DRIVE_MAP_BOUND,MATCHED_WITH_ONED_DRIVE_MAP_BOUND,48.077307769832274,81.52349836779089,33.44619059795862,2,2,0.8843007507911896,0.8888888888888888,13.554418894107952,388.20701032127903,0.10944962149262523,0.0197090702054021,10.979542630034864,46.96701318544629,signed_burgers_line_count,density_m^-2_not_directly_subtracted,True
canonical_theta0_rate__weakt__T0300K__theta0__rate0p01x__seed2003621,CANONICAL_STRAIN_RATE,weak-T,oneD_v2_focused_weak_T_0016,300.0,0.0,rate0p01x,0.01,2003621,TARGET_REACHED,RIGHT_CENSORED_DRIVE_MAP_BOUND,MATCHED_WITH_ONED_DRIVE_MAP_BOUND,23.177116033842818,38.0807328548684,14.903616821025583,1,1,1.0,1.0,1.938783868906044,299.5824949014115,0.28919132632121325,0.016225540707786125,4.1399599998731755,57.626809056939656,signed_burgers_line_count,density_m^-2_not_directly_subtracted,True
canonical_theta0_rate__weakt__T0600K__theta0__rate0p01x__seed2004630,CANONICAL_STRAIN_RATE,weak-T,oneD_v2_focused_weak_T_0016,600.0,0.0,rate0p01x,0.01,2004630,TARGET_REACHED,RIGHT_CENSORED_DRIVE_MAP_BOUND,MATCHED_WITH_ONED_DRIVE_MAP_BOUND,26.60905548443199,37.33518936447073,10.726133880038738,1,1,1.0,1.0,2.6573118473610093,109.49918031418346,0.2177342921339488,0.026916409039806136,5.44105393795072,37.357489620615844,signed_burgers_line_count,density_m^-2_not_directly_subtracted,True
canonical_theta0_rate__weakt__T0800K__theta0__rate0p01x__seed2005639,CANONICAL_STRAIN_RATE,weak-T,oneD_v2_focused_weak_T_0016,800.0,0.0,rate0p01x,0.01,2005639,TARGET_REACHED,RIGHT_CENSORED_DRIVE_MAP_BOUND,MATCHED_WITH_ONED_DRIVE_MAP_BOUND,29.21215116635212,36.29705266085209,7.08490149449997,1,1,1.0,1.0,3.386182769607056,86.378357590336,0.18147142506595745,0.030342825817074388,6.617612895885206,33.82433759349496,signed_burgers_line_count,density_m^-2_not_directly_subtracted,True
