case_id,matrix,material_class,candidate_id,temperature_K,theta_deg,rate_tag,loading_rate_factor,seed,is_orientation_matrix_case,is_rate_matrix_case,target_extension_um,achieved_extension_um,target_status,numerical_event_count,physical_avalanche_count,largest_avalanche_extension_um,largest_avalanche_fraction,initial_onset_native_KJ_MPa_sqrt_m,final_reinitiation_native_KJ_MPa_sqrt_m,delta_K_reinit_MPa_sqrt_m,maximum_tip_radius_um,minimum_front_width_um,maximum_mobile_count,maximum_retained_count,maximum_backstress_GPa,maximum_absolute_shielding_MPa_sqrt_m,steps_sha256
canonical_theta0_shared__peak__T0300K__theta0__rate1x__seed3621,CANONICAL_ORIENTATION_AND_RATE_SHARED,Peak,v913_zeroD_sobol_0242980,300.0,0.0,rate1x,1.0,3621,True,True,1000.0,1000.0106212350875,TARGET_REACHED,207,1,1000.0106212350875,1.0,23.650909281245745,nan,nan,1.0000000000000409,9.999999999851898,1.4298949619708758e-10,6.2990659463777095e-18,6.54048764298025e-07,9.194272107657722e-23,7b088321e91e2c6308bb9c6cb3a31e5eb010c48441b09dad29b25b597f8914af
canonical_theta0_shared__peak__T0600K__theta0__rate1x__seed4630,CANONICAL_ORIENTATION_AND_RATE_SHARED,Peak,v913_zeroD_sobol_0242980,600.0,0.0,rate1x,1.0,4630,True,True,1000.0,1009.3183059364883,TARGET_REACHED,194,1,1009.3183059364883,1.0,22.543110037165572,nan,nan,1.0029244375858393,5.6619874569886415,9.276475430718204,1.77034625200585e-05,0.17495403309235308,2.5540431828625825e-10,2a88f6a5f05a28c956fcdcc50515e3778d8154fd1a3d5b42aa3449e00156bedb
canonical_theta0_shared__peak__T0800K__theta0__rate1x__seed5639,CANONICAL_ORIENTATION_AND_RATE_SHARED,Peak,v913_zeroD_sobol_0242980,800.0,0.0,rate1x,1.0,5639,True,True,1000.0,1016.7419830836919,TARGET_REACHED,196,1,1016.7419830836919,1.0,41.18783496692729,nan,nan,1.2495396094481512,0.7412364785750358,707.341128160786,9.702256356535607,1.616857520505004,0.0010667981392939478,4e2a982a180e5cce6411ba56f12cc98efc1580ea427ae13f52dd9272c58dead8
canonical_theta0_shared__peak__T0900K__theta0__rate1x__seed6648,CANONICAL_ORIENTATION_AND_RATE_SHARED,Peak,v913_zeroD_sobol_0242980,900.0,0.0,rate1x,1.0,6648,True,True,1000.0,1000.1763831336864,TARGET_REACHED,180,1,1000.1763831336864,1.0,56.38624527458679,nan,nan,1.0006270420320282,8.291819607404339,0.27670250161760834,2.605059956326718,0.0810151566029962,0.00017402844546798954,bc747df31c8f781e420c4efc05c4e2cb673c3a8b1dfb220c525806cb2754d500
canonical_theta0_shared__peak__T0950K__theta0__rate1x__seed7657,CANONICAL_ORIENTATION_AND_RATE_SHARED,Peak,v913_zeroD_sobol_0242980,950.0,0.0,rate1x,1.0,7657,True,True,1000.0,1000.8893838023652,TARGET_REACHED,214,1,1000.8893838023652,1.0,55.70689292188094,nan,nan,1.001395111164711,7.051546174324297,0.49115484292273726,5.822820388248822,0.11868548885644824,0.0004211709463582591,7436a99e7ba21d2be15cb1173968145f1eb689b75f3379ae0ae436e4a0ad2574
canonical_theta0_shared__peak__T1000K__theta0__rate1x__seed8666,CANONICAL_ORIENTATION_AND_RATE_SHARED,Peak,v913_zeroD_sobol_0242980,1000.0,0.0,rate1x,1.0,8666,True,True,1000.0,1006.6612608237136,TARGET_REACHED,208,1,1006.6612608237136,1.0,53.878171773275795,nan,nan,4.7430019717402265,0.19109788862102023,12345.075003491253,1019.1617815471049,6.287667586743905,0.11215581292262,5a1ffce0dba3b301500bb3d8d0ffbccd9ea4c77690f4579360fee981d9823c91
canonical_theta0_shared__peak__T1050K__theta0__rate1x__seed9675,CANONICAL_ORIENTATION_AND_RATE_SHARED,Peak,v913_zeroD_sobol_0242980,1050.0,0.0,rate1x,1.0,9675,True,True,1000.0,1000.203110835197,TARGET_REACHED,225,1,1000.203110835197,1.0,53.5175623892751,nan,nan,6.961763106680891,0.15144960347962544,17970.145021744785,6605.2791004523915,7.934266652212224,0.7274706563078205,78f9f04b57a0d46ca91d86c6bf66d9c291abbf5ca584f8180a39d538dc47c98a
canonical_theta0_shared__peak__T1100K__theta0__rate1x__seed10684,CANONICAL_ORIENTATION_AND_RATE_SHARED,Peak,v913_zeroD_sobol_0242980,1100.0,0.0,rate1x,1.0,10684,True,True,1000.0,1016.280231244603,TARGET_REACHED,196,1,1016.280231244603,1.0,52.7038352528844,nan,nan,6.793419256141974,0.1534012845829054,15691.310112895473,8234.167671451289,7.833297904917056,0.9090386085173793,5ba9b714a191e183af5168afe402ddde4ed1aa7aa7d02a9d2c01d0c688691272
canonical_theta0_shared__peak__T1150K__theta0__rate1x__seed11693,CANONICAL_ORIENTATION_AND_RATE_SHARED,Peak,v913_zeroD_sobol_0242980,1150.0,0.0,rate1x,1.0,11693,True,True,1000.0,1012.3916445221486,TARGET_REACHED,211,1,1012.3916445221487,1.0000000000000002,51.55784259763339,nan,nan,6.8247342383923595,0.15252584091345728,14928.561438723042,9545.390431326698,7.878267889631803,1.0632817510364736,cb08e061e2ab481d9378c25f9cad53aab71c27c5c947e27bd75c66996b2a9f66
canonical_theta0_shared__peak__T1200K__theta0__rate1x__seed12702,CANONICAL_ORIENTATION_AND_RATE_SHARED,Peak,v913_zeroD_sobol_0242980,1200.0,0.0,rate1x,1.0,12702,True,True,1000.0,1005.2877647058981,TARGET_REACHED,183,1,1005.2877647058981,1.0,49.08883842937306,nan,nan,6.5336143365947885,0.1562662241099012,13677.021217688802,9819.799790934485,7.689649510286986,1.1160043318162765,f7a51b7d99e56253ef84183a1890636d4d6ff274c116cf0d09056efc1794ee8a
