material_class,rate_tag,case_count,initial_onset_mean_MPa_sqrt_m,initial_onset_min_MPa_sqrt_m,initial_onset_max_MPa_sqrt_m,delta_K_reinit_mean_MPa_sqrt_m,delta_K_reinit_finite_case_count,largest_avalanche_fraction_mean,physical_avalanche_count_mean
Peak,rate0p01x,12,67.99988698456501,22.7306400618135,92.05224379164433,,0,1.0,1.0
Peak,rate1x,12,46.59103393454868,22.543110037165572,56.38624527458679,,0,1.0,1.0
Peak,rate100x,12,40.423495571327216,23.396630806183413,55.02754056917508,-3.635899516992634,1,0.995644759571118,1.0833333333333333
DBTT,rate0p01x,12,39.5864617733961,21.802285244513932,53.738805502617694,-2.3231727464000365,8,0.9477852079251295,1.6666666666666667
DBTT,rate1x,12,41.14132759175286,21.745013863763774,56.18816031654793,-1.8624972639557305,8,0.9477852079251295,1.6666666666666667
DBTT,rate100x,12,42.96363166930657,21.80505656581596,58.645668975558095,-1.9118891247831038,8,0.9477852079251295,1.6666666666666667
weak-T,rate0p01x,12,26.86270318313936,23.177116033842818,30.361098354467195,,0,1.0,1.0
weak-T,rate1x,12,22.60410927271346,20.5972722539333,23.777332344705204,-2.928556940704607,4,0.9778831569572377,1.4166666666666667
weak-T,rate100x,12,23.597892305907237,22.49797009648091,24.632315914683925,-3.1008233414204707,4,0.978074230861496,1.3333333333333333
ceramic-like,rate0p01x,12,14.577943273132385,12.311729965854907,16.701017088763013,-0.5218946190392972,4,0.9473475300802626,1.3333333333333333
ceramic-like,rate1x,12,15.411970276316039,13.074507768751278,17.438204914111978,-0.5834087769089846,4,0.9473475300802626,1.3333333333333333
ceramic-like,rate100x,12,16.23245464578795,13.944040846924409,18.00512100647769,-0.6589183733437642,4,0.9473475300802626,1.3333333333333333
