case_id,matrix,material_class,candidate_id,temperature_K,theta_deg,rate_tag,loading_rate_factor,seed,event_transaction_index,physical_avalanche_index,pre_event_step,pre_event_time_s,pre_event_opening_m,pre_event_native_J_J_per_m2,pre_event_native_KJ_MPa_sqrt_m,pre_event_projected_extension_um,post_event_projected_extension_um,event_extension_um,tip_radius_um,front_width_um,mobile_count,retained_count,multiplicity,backstress_Pa,signed_shielding_MPa_sqrt_m,tensor_probe_reliable,maximum_emission_rate_system_index,maximum_emission_rate_system_name,observer_profile_fingerprint_sha256,process_zone_state_fingerprint,reload_time_to_next_event_s,reload_opening_to_next_event_m,certified_reload_before_next_event,right_censored_at_target,source_steps_sha256,onset_role
canonical_theta0_rate__peak__T0300K__theta0__rate0p01x__seed3621,CANONICAL_STRAIN_RATE,Peak,v913_zeroD_sobol_0242980,300.0,0.0,rate0p01x,0.01,3621,0,0,82,56211.58909915573,1.3383711690275166e-05,1161.4003146495968,22.7306400618135,0.0,2.4335696912706477,2.4335696912706477,1.0000000000028466,9.999999989685202,9.892710034008029e-09,1.3235959342137334e-33,352563.02074934123,5458.39210231421,-1.4558508081962055e-37,True,0,(110),e61349750238da03e6dd73836e97d6558fff56f8b65857dfdebd8fe5848c4183,5fa0042ead4c38b82f48e8e9b042a10f6390c5891e8cdf8bb5c3007200105f25,194.56173287341517,4.6324222112718774e-08,False,False,01461e4ffbf8a7e19f6af3090fe09c3afbcbe3526dbb5549537a187d3e033aad,INITIAL_ONSET_PRE_EVENT
canonical_theta0_rate__peak__T0600K__theta0__rate0p01x__seed4630,CANONICAL_STRAIN_RATE,Peak,v913_zeroD_sobol_0242980,600.0,0.0,rate0p01x,0.01,4630,0,0,77,61142.465972083875,1.4557729993353292e-05,1374.0929598027685,24.72457030260318,0.0,3.7173077185406225,3.7173077185406225,1.0414444678067716,1.795046594275654,120.60440157852933,4.828718854403338e-06,65909.58884073608,658622747.470944,-5.309532170734638e-10,True,0,(110),9809f3a4b14d6ea17aeb53354bc56ed2ce0aa02d36d74abd3125a01bc56e2e55,e0da7421878866626b32e0288453c780cba157995ffe9de48e66883367ec57fc,4.350922245066613e-05,1.035934338799397e-14,False,False,3b4b144490e4b3ac20b0d3c1e598e1df73ed98d717e557a2b29e3350cbaba9d9,INITIAL_ONSET_PRE_EVENT
canonical_theta0_rate__peak__T0800K__theta0__rate0p01x__seed5639,CANONICAL_STRAIN_RATE,Peak,v913_zeroD_sobol_0242980,800.0,0.0,rate0p01x,0.01,5639,0,0,164,136037.98329414148,3.238999602241473e-05,6802.218585057259,55.01055000490251,0.0,3.908263888258525,3.908263888258525,2.029920032304464,0.3604851066157812,3093.8303143166463,87.50670650666889,25799.00846645463,3331617338.9460363,-0.009621776158196876,True,0,(110),8d3f2d70ceda005e42d558c829edc3ab69e4d7723fe550bb52b86dcf3f5db17b,845fdc1dabc27b8a316cceca0f65c1deb33cb94e21bff6571c66b8159d880bdd,8.400005754083395e-06,2.000000642529698e-15,False,False,699c0a8c2053c472f52ee317c8b79d370bc36a6e7231d16ecd60c134b6b09975,INITIAL_ONSET_PRE_EVENT
canonical_theta0_rate__peak__T0900K__theta0__rate0p01x__seed6648,CANONICAL_STRAIN_RATE,Peak,v913_zeroD_sobol_0242980,900.0,0.0,rate0p01x,0.01,6648,0,0,165,138600.0,3.300000000000008e-05,7060.84493590426,56.046569098233846,0.0,10.756024230600493,10.756024230600493,1.000262729319368,8.592131208644114,0.25896208521124264,1.3389310745521152,303006.36141609115,71559686.76529926,-0.0001635165902067917,True,0,(110),056f846ad974e1ccd1f211af5bd9cbfd87135eacdfbb43ea6a12fb017da97826,0e3d7afbb020cb425a3972fe79ed1f98a73caeeee6b53c128f4f2a181bf7247a,8.400005754083395e-06,2.000000642529698e-15,False,False,cf0417488d2f1a8b8ee80762f957bcb7676f632d5b2bfb0cc4cf24edff1f6840,INITIAL_ONSET_PRE_EVENT
canonical_theta0_rate__peak__T0950K__theta0__rate0p01x__seed7657,CANONICAL_STRAIN_RATE,Peak,v913_zeroD_sobol_0242980,950.0,0.0,rate0p01x,0.01,7657,0,0,180,151200.0,3.600000000000005e-05,8402.989014629848,61.141711743527786,0.0,15.869442836000678,15.869442836000678,1.0008593753662198,7.845011230263488,0.4514601633461468,3.1703693686117047,276823.77726887324,94996263.44073227,-0.00043536101456869385,True,0,(110),9aa6b49cdd8a20b2b4cd990e8b4e0d3c18a182c3a9065dd118d976d57df7ba07,1067dd35d723baec7ed780fc5cb09fffae25f664a4f4c487268194b1d17c3c65,8.400005754083395e-06,2.000000642529698e-15,False,False,8c72a0ecf1c7fb66984e566c8832c660bae8b01be8eab65921c84e2c0e495f5b,INITIAL_ONSET_PRE_EVENT
canonical_theta0_rate__peak__T1000K__theta0__rate0p01x__seed8666,CANONICAL_STRAIN_RATE,Peak,v913_zeroD_sobol_0242980,1000.0,0.0,rate0p01x,0.01,8666,0,0,197,165480.0,3.9400000000000016e-05,10065.172860147199,66.91620674152757,0.0,2.2973400956249024,2.2973400956249024,5.4895682235801955,0.1484153911950126,31120.823905385478,457.2049827399994,28724.593202139804,8096511143.521109,-0.05032659178421521,True,0,(110),4cb7358c52f175597afc3d33b85216fc3e4539a724fe74185888e91ca2e7fd79,960a917569bcb352fbf3b8495ab7fbc9c5263a3a14763f426de13e8677e7412d,8.400005754083395e-06,2.000000642529698e-15,False,False,36fbafe572a5413fba2930313782f310704a171ad0c9ee09c8e94b8494d7bd8b,INITIAL_ONSET_PRE_EVENT
canonical_theta0_rate__peak__T1050K__theta0__rate0p01x__seed9675,CANONICAL_STRAIN_RATE,Peak,v913_zeroD_sobol_0242980,1050.0,0.0,rate0p01x,0.01,9675,0,0,234,196054.57950415486,4.6679661786703486e-05,14128.114167769569,79.27984514577747,0.0,2.2973400956249024,2.2973400956249024,7.540333977855531,0.1271298184140385,58334.45860467723,879.7834084619635,33796.73666277783,9452401726.330902,-0.09698740883486151,True,0,(110),9ef937410e906cfd40a57beb723151791837625dd888d37de77b82b5c60055f8,afe1d23ba25ec72e16270774084017cb549a51329a57e061769306293ce6ecbf,8.400005754083395e-06,2.000000642529698e-15,False,False,4fdb71f846b79025709c9838bd5a54f3bb7a7b190466e8ac71734cbdba06dfb7,INITIAL_ONSET_PRE_EVENT
canonical_theta0_rate__peak__T1100K__theta0__rate0p01x__seed10684,CANONICAL_STRAIN_RATE,Peak,v913_zeroD_sobol_0242980,1100.0,0.0,rate0p01x,0.01,10684,0,0,259,217560.0,5.17999999999999e-05,17397.55882995004,87.97612967540915,0.0,3.4688436219682504,3.4688436219682504,3.8783103400871566,0.12844987189824783,49624.85540007864,13772.335404542286,17563.577952467378,9355245512.092794,-1.564000476017579,True,0,(110),cbcf25da55efe06f25ec8b72f8ac1648ba66149c2dd984bee996e3e24a1607cc,1123b1a9ce6d8c407e37d8926932336c83414dd86619f60fa6a89aed6fd7e647,8.400005754083395e-06,2.000000642529698e-15,False,False,18f7cdfc09e4a04a438c23d70fe00e4027c38c53d023cf36a54e0d953b54278c,INITIAL_ONSET_PRE_EVENT
canonical_theta0_rate__peak__T1150K__theta0__rate0p01x__seed11693,CANONICAL_STRAIN_RATE,Peak,v913_zeroD_sobol_0242980,1150.0,0.0,rate0p01x,0.01,11693,0,0,271,227640.0,5.4199999999999874e-05,19047.034451340336,92.05224379164433,0.0,2.3867461716193388,2.3867461716193388,9.957594507609283,0.13018580876537317,104690.08395862233,1287.4129728834569,45704.066338200915,9230479160.131203,-0.14437476203575247,True,0,(110),ab15079efff62b5a167d09a47fa7704925cb0fa7aba10e09d092977485b82a40,fc7e66484cf58b58218980d01b4041653079c137f2ab873f0679343c5c50895a,8.400005754083395e-06,2.000000642529698e-15,False,False,cc69cf66d88a29140c071180d99807b285f6debe5f2cdc20e1a02cfdc686ddfe,INITIAL_ONSET_PRE_EVENT
canonical_theta0_rate__peak__T1200K__theta0__rate0p01x__seed12702,CANONICAL_STRAIN_RATE,Peak,v913_zeroD_sobol_0242980,1200.0,0.0,rate0p01x,0.01,12702,0,0,264,221111.9425779547,5.2645700613798634e-05,17970.27046670373,89.41245142958152,0.0,2.2973400956249024,2.2973400956249024,11.084415179130554,0.13880915860181586,110746.09338231456,1945.0884555357516,54245.99319134483,8656946480.5421,-0.22192910964584112,True,0,(110),242309ad4ad4aa01cbbd56703a60974ec13e4296fe077b3ab7280b873cc1620f,8c23f45ad50d7c6c094c6069b67f055f1a1c1bc9fc97418ab2866f777e5da53e,8.400005754083395e-06,2.000000642529698e-15,False,False,b7ad5e6f33c8ec0a135e86c2617aca3308bd18bd263926efe8afcb640a8a63d1,INITIAL_ONSET_PRE_EVENT
