global_rank,candidate_id,parent_id,response_class,hard_thermodynamic_admissible,all_mandatory_F1B_anchors_valid,F1B_accessible_fraction,existing_F2R_confirmed,minimum_normalized_gate_margin,normalized_gate_margins_json,complexity,delta_Cp_zero,emission_entropy_inside_primary_prior,emission_entropy_distance_from_minus40_kB,root_max_abs_error_MPa_sqrt_m,parent_class_rank
1,P25_TJBSV2_S_004127,P25_TRANSFER_V1_RANK1,CERAMIC_LIKE_PROVISIONAL_COUPLED_MODEL_RESPONSE_CLASS,True,True,1.0,True,0.25,"{""class_gate"": 0.6206396249225696, ""f1b_accessibility"": 0.25, ""fatigue_local_slope"": 0.5766668439198913, ""fatigue_max"": 0.851936877584944, ""fatigue_rms"": 0.8527088546132726, ""root_accuracy"": 0.9652912, ""state_conservation"": 0.9999999999994579}",2,True,True,0.1216097999778114,3.47088e-05,1
2,P25_TJBSV2_S_002987,P25_TRANSFER_V1_RANK1,DBTT_LIKE_PROVISIONAL_COUPLED_MODEL_RESPONSE_CLASS,True,True,1.0,True,0.25,"{""class_gate"": 6.191516903139114, ""f1b_accessibility"": 0.25, ""fatigue_local_slope"": 0.6029991175943374, ""fatigue_max"": 0.8613971039605153, ""fatigue_rms"": 0.8622585980060405, ""root_accuracy"": 0.7863375, ""state_conservation"": 0.9999999446914571}",2,True,True,3.8913276373512247,0.0002136625,1
3,P40_TJBSV2_S_031027,P40_TRANSFER_CALIBRATED_GEN2,CERAMIC_LIKE_PROVISIONAL_COUPLED_MODEL_RESPONSE_CLASS,True,True,1.0,True,0.25,"{""class_gate"": 6.259098647098471, ""f1b_accessibility"": 0.25, ""fatigue_local_slope"": 0.5100285573414093, ""fatigue_max"": 0.8715939175394148, ""fatigue_rms"": 0.8840874500693686, ""root_accuracy"": 0.9302276, ""state_conservation"": 0.999999999999695}",2,True,False,33.27610041946173,6.97724e-05,1
4,P25_TJBSV2_S_005447,P25_TRANSFER_V1_RANK1,DBTT_LIKE_PROVISIONAL_COUPLED_MODEL_RESPONSE_CLASS,True,True,1.0,True,0.25,"{""class_gate"": 1.789371483718813, ""f1b_accessibility"": 0.25, ""fatigue_local_slope"": 0.4930940423149016, ""fatigue_max"": 0.8224231912102564, ""fatigue_rms"": 0.8230886086025871, ""root_accuracy"": 0.9584189, ""state_conservation"": 0.9999999593029572}",2,True,False,33.5189788043499,4.15811e-05,2
5,P25_TJBSV2_S_026704,P25_TRANSFER_V1_RANK1,WEAK_T_PROVISIONAL_COUPLED_MODEL_RESPONSE_CLASS,True,True,1.0,True,0.22626245108683096,"{""class_gate"": 0.22626245108683096, ""f1b_accessibility"": 0.25, ""fatigue_local_slope"": 0.41776554936835686, ""fatigue_max"": 0.7964269119293602, ""fatigue_rms"": 0.7971976710175918, ""root_accuracy"": 0.9529601, ""state_conservation"": 0.9999999999981705}",2,True,True,5.390601896577408,4.7039900000000003e-05,1
6,P25_TJBSV2_S_059496,P25_TRANSFER_V1_RANK1,WEAK_T_PROVISIONAL_COUPLED_MODEL_RESPONSE_CLASS,True,True,1.0,True,0.0893917877375352,"{""class_gate"": 0.0893917877375352, ""f1b_accessibility"": 0.25, ""fatigue_local_slope"": 0.47089979627857714, ""fatigue_max"": 0.8147596490092128, ""fatigue_rms"": 0.815455703114986, ""root_accuracy"": 0.9194895, ""state_conservation"": 0.999999999998848}",2,True,True,5.539027812580272,8.051050000000001e-05,2
7,P25_TJBSV2_S_026962,P25_TRANSFER_V1_RANK1,DBTT_LIKE_PROVISIONAL_COUPLED_MODEL_RESPONSE_CLASS,True,True,1.0,False,0.25,"{""class_gate"": 3.523867118500367, ""f1b_accessibility"": 0.25, ""fatigue_local_slope"": 0.46102534531404693, ""fatigue_max"": 0.8113267882134266, ""fatigue_rms"": 0.8120282208950333, ""root_accuracy"": 0.7893211, ""state_conservation"": 0.999999953593501}",2,True,True,0.4506456131736485,0.0002106789,3
8,P40_TJBSV2_S_038503,P40_TRANSFER_CALIBRATED_GEN2,DBTT_LIKE_PROVISIONAL_COUPLED_MODEL_RESPONSE_CLASS,True,True,1.0,False,0.25,"{""class_gate"": 7.990066283333171, ""f1b_accessibility"": 0.25, ""fatigue_local_slope"": 0.5942601500606628, ""fatigue_max"": 0.8930805156375197, ""fatigue_rms"": 0.9033356633517878, ""root_accuracy"": 0.8811191, ""state_conservation"": 0.999999934146393}",2,True,True,2.1368388268682708,0.00011888090000000001,1
9,P40_TJBSV2_S_006687,P40_TRANSFER_CALIBRATED_GEN2,DBTT_LIKE_PROVISIONAL_COUPLED_MODEL_RESPONSE_CLASS,True,True,1.0,False,0.25,"{""class_gate"": 0.48215681510321473, ""f1b_accessibility"": 0.25, ""fatigue_local_slope"": 0.4791113247306491, ""fatigue_max"": 0.86376807098319, ""fatigue_rms"": 0.8770935113730587, ""root_accuracy"": 0.9271814, ""state_conservation"": 0.9999999739532813}",2,True,True,2.8553410884406816,7.281860000000001e-05,2
10,P25_TJBSV2_S_034830,P25_TRANSFER_V1_RANK1,DBTT_LIKE_PROVISIONAL_COUPLED_MODEL_RESPONSE_CLASS,True,True,1.0,False,0.25,"{""class_gate"": 11.65299526700796, ""f1b_accessibility"": 0.25, ""fatigue_local_slope"": 0.5032785659136065, ""fatigue_max"": 0.8260777218910585, ""fatigue_rms"": 0.8267767199641192, ""root_accuracy"": 0.9294276, ""state_conservation"": 0.9999999449730347}",2,True,True,3.596185006615187,7.05724e-05,4
