DeltaK_MPa_sqrt_m,K_onset_300K_MPa_sqrt_m,Kmax_MPa_sqrt_m,Kmax_fraction,R,accepted_event_count,candidate_id,censor_status,checkpoint_restored,corrected_analytical_da_dN,cycle_limit,cycles_consumed,developed_da_dN,exact_cycle_integrated_opening_hazard,failure_reason,fixed_event_quantum_m,frequency_Hz,hazard_seed,initial_threshold,live_checkpoint_directory,maximum_accepted_events,no_bulk_hazard,no_hidden_fatigue_floor,parent_target_da_dN_log_interpolated,production_high_cycle_model_id,production_role,projected_extension_m,target_extension_m,temperature_K,two_dimensional_mechanics_executed,wall_seconds
1.6199919913835112,3.272711093704063,1.7999911015372347,0.55,0.1,0,P25_TJBSV2_S_002987,PRODUCTION_WATCHDOG_TIMEOUT,True,1.3080324396742084e-54,10000000000.0,7021704.999999918,,1.8686177709631547e-46,TimeoutError: watchdog timeout after 1800 seconds,7e-09,1000.0,1001721,0.5153758355099374,/private/tmp/v10230-joint-search-v2-1-production-transfer/analysis_outputs/corrected_joint_search_v2_1_and_1d_transfer/fatigue_live_checkpoints/exact_wrapper_nphase48/P25_TJBSV2_S_002987/fraction_0.55,3,True,True,1.5317416315581992e-07,v10.2.30_production_event_to_event_high_cycle_v5_rate_separated_positive_state_dmd,P25_DBTT_LIKE,0.0,1.5e-08,300.0,False,1800.011316958
2.2090799882502425,3.272711093704063,2.4545333202780473,0.75,0.1,0,P25_TJBSV2_S_002987,PRODUCTION_WATCHDOG_TIMEOUT,False,1.1538009829266341e-28,10000000000.0,2556884.999999998,,1.6482871184666204e-20,TimeoutError: watchdog timeout after 1800 seconds,7e-09,1000.0,1001721,0.5153758355099374,/private/tmp/v10230-joint-search-v2-1-production-transfer/analysis_outputs/corrected_joint_search_v2_1_and_1d_transfer/fatigue_live_checkpoints/exact_wrapper_nphase48/P25_TJBSV2_S_002987/fraction_0.75,3,True,True,1.5317416315581992e-07,v10.2.30_production_event_to_event_high_cycle_v5_rate_separated_positive_state_dmd,P25_DBTT_LIKE,0.0,1.5e-08,300.0,False,1800.0094657089794
2.7981679851169736,3.272711093704063,3.1090755390188596,0.95,0.1,0,P25_TJBSV2_S_002987,PRODUCTION_1D_STATE_CLOSURE_FAILED,False,1.3427301389166423e-15,10000000000.0,2969664.0172030977,,1.9181859127380605e-07,first passage reached; geometry-dependent post-passage energy transaction requires prohibited 2-D mechanics,7e-09,1000.0,1001721,0.5153758355099374,/private/tmp/v10230-joint-search-v2-1-production-transfer/analysis_outputs/corrected_joint_search_v2_1_and_1d_transfer/fatigue_live_checkpoints/exact_wrapper_nphase48/P25_TJBSV2_S_002987/fraction_0.95,3,True,True,1.5317416315581992e-07,v10.2.30_production_event_to_event_high_cycle_v5_rate_separated_positive_state_dmd,P25_DBTT_LIKE,0.0,1.5e-08,300.0,False,1380.9803646670189
2.4850956235531214,5.020395199097214,2.761217359503468,0.55,0.1,0,P40_TJBSV2_S_038503,PRODUCTION_WATCHDOG_TIMEOUT,False,2.0457019477566842e-41,10000000000.0,3432290.9999999986,,2.9224313539381205e-33,TimeoutError: watchdog timeout after 1800 seconds,7e-09,1000.0,1001721,0.5153758355099374,/private/tmp/v10230-joint-search-v2-1-production-transfer/analysis_outputs/corrected_joint_search_v2_1_and_1d_transfer/fatigue_live_checkpoints/exact_wrapper_nphase48/P40_TJBSV2_S_038503/fraction_0.55,3,True,True,8.398930054582271e-08,v10.2.30_production_event_to_event_high_cycle_v5_rate_separated_positive_state_dmd,P40_DBTT_LIKE,0.0,1.5e-08,300.0,False,1800.0130920829251
3.3887667593906197,5.020395199097214,3.7652963993229105,0.75,0.1,0,P40_TJBSV2_S_038503,PRODUCTION_WATCHDOG_TIMEOUT,False,2.3843639993549237e-25,10000000000.0,1660258.9999999988,,3.406234284792748e-17,TimeoutError: watchdog timeout after 1800 seconds,7e-09,1000.0,1001721,0.5153758355099374,/private/tmp/v10230-joint-search-v2-1-production-transfer/analysis_outputs/corrected_joint_search_v2_1_and_1d_transfer/fatigue_live_checkpoints/exact_wrapper_nphase48/P40_TJBSV2_S_038503/fraction_0.75,3,True,True,8.398930054582271e-08,v10.2.30_production_event_to_event_high_cycle_v5_rate_separated_positive_state_dmd,P40_DBTT_LIKE,0.0,1.5e-08,300.0,False,1800.008022584021
4.292437895228118,5.020395199097214,4.769375439142353,0.95,0.1,0,P40_TJBSV2_S_038503,PRODUCTION_WATCHDOG_TIMEOUT,False,1.6973081674418522e-15,10000000000.0,1939373.9999999988,,2.4247259534883603e-07,TimeoutError: watchdog timeout after 1800 seconds,7e-09,1000.0,1001721,0.5153758355099374,/private/tmp/v10230-joint-search-v2-1-production-transfer/analysis_outputs/corrected_joint_search_v2_1_and_1d_transfer/fatigue_live_checkpoints/exact_wrapper_nphase48/P40_TJBSV2_S_038503/fraction_0.95,3,True,True,8.398930054582271e-08,v10.2.30_production_event_to_event_high_cycle_v5_rate_separated_positive_state_dmd,P40_DBTT_LIKE,0.0,1.5e-08,300.0,False,1800.0113867080072
2.227638011494364,4.500278811099724,2.4751533461048485,0.55,0.1,0,P25_TJBSV2_S_026704,PRODUCTION_WATCHDOG_TIMEOUT,False,9.065473560062359e-69,10000000000.0,3270206.0000000014,,1.29506765143748e-60,TimeoutError: watchdog timeout after 1800 seconds,7e-09,1000.0,1001721,0.5153758355099374,/private/tmp/v10230-joint-search-v2-1-production-transfer/analysis_outputs/corrected_joint_search_v2_1_and_1d_transfer/fatigue_live_checkpoints/exact_wrapper_nphase48/P25_TJBSV2_S_026704/fraction_0.55,3,True,True,1.5317416315581992e-07,v10.2.30_production_event_to_event_high_cycle_v5_rate_separated_positive_state_dmd,P25_WEAK_T,0.0,1.5e-08,300.0,False,1800.0098764159484
3.037688197492314,4.500278811099724,3.375209108324793,0.75,0.1,0,P25_TJBSV2_S_026704,PRODUCTION_WATCHDOG_TIMEOUT,False,3.29394575960401e-39,10000000000.0,930132.0000000017,,4.7056367994343e-31,TimeoutError: watchdog timeout after 1800 seconds,7e-09,1000.0,1001721,0.5153758355099374,/private/tmp/v10230-joint-search-v2-1-production-transfer/analysis_outputs/corrected_joint_search_v2_1_and_1d_transfer/fatigue_live_checkpoints/exact_wrapper_nphase48/P25_TJBSV2_S_026704/fraction_0.75,3,True,True,1.5317416315581992e-07,v10.2.30_production_event_to_event_high_cycle_v5_rate_separated_positive_state_dmd,P25_WEAK_T,0.0,1.5e-08,300.0,False,1800.009814582998
3.847738383490264,4.500278811099724,4.275264870544738,0.95,0.1,0,P25_TJBSV2_S_026704,PRODUCTION_WATCHDOG_TIMEOUT,False,6.220821820040785e-16,10000000000.0,1462770.9999999995,,8.886888314343979e-08,TimeoutError: watchdog timeout after 1800 seconds,7e-09,1000.0,1001721,0.5153758355099374,/private/tmp/v10230-joint-search-v2-1-production-transfer/analysis_outputs/corrected_joint_search_v2_1_and_1d_transfer/fatigue_live_checkpoints/exact_wrapper_nphase48/P25_TJBSV2_S_026704/fraction_0.95,3,True,True,1.5317416315581992e-07,v10.2.30_production_event_to_event_high_cycle_v5_rate_separated_positive_state_dmd,P25_WEAK_T,0.0,1.5e-08,300.0,False,1800.0114434589632
3.3477949256678277,6.763222072056217,3.7197721396309196,0.55,0.1,0,P40_TJBSV2_S_038278,PRODUCTION_WATCHDOG_TIMEOUT,False,4.0549502454657226e-78,10000000000.0,2546308.999999998,,5.7927860649510325e-70,TimeoutError: watchdog timeout after 1800 seconds,7e-09,1000.0,1001721,0.5153758355099374,/private/tmp/v10230-joint-search-v2-1-production-transfer/analysis_outputs/corrected_joint_search_v2_1_and_1d_transfer/fatigue_live_checkpoints/exact_wrapper_nphase48/P40_TJBSV2_S_038278/fraction_0.55,3,True,True,8.398930054582271e-08,v10.2.30_production_event_to_event_high_cycle_v5_rate_separated_positive_state_dmd,P40_WEAK_T,0.0,1.5e-08,300.0,False,1800.012164084008
