candidate_id,production_role,Kmax_fraction,Kmax_MPa_sqrt_m,DeltaK_MPa_sqrt_m,corrected_analytical_da_dN,parent_target_da_dN_log_interpolated,developed_da_dN,censor_status
P25_TJBSV2_S_002987,P25_DBTT_LIKE,0.55,1.7999911015372347,1.6199919913835112,1.3080324396742084e-54,1.5317416315581992e-07,,PRODUCTION_WATCHDOG_TIMEOUT
P25_TJBSV2_S_002987,P25_DBTT_LIKE,0.75,2.4545333202780473,2.2090799882502425,1.1538009829266341e-28,1.5317416315581992e-07,,PRODUCTION_WATCHDOG_TIMEOUT
P25_TJBSV2_S_002987,P25_DBTT_LIKE,0.95,3.1090755390188596,2.7981679851169736,1.3427301389166423e-15,1.5317416315581992e-07,,PRODUCTION_1D_STATE_CLOSURE_FAILED
P40_TJBSV2_S_038503,P40_DBTT_LIKE,0.55,2.761217359503468,2.4850956235531214,2.0457019477566842e-41,8.398930054582271e-08,,PRODUCTION_WATCHDOG_TIMEOUT
P40_TJBSV2_S_038503,P40_DBTT_LIKE,0.75,3.7652963993229105,3.3887667593906197,2.3843639993549237e-25,8.398930054582271e-08,,PRODUCTION_WATCHDOG_TIMEOUT
P40_TJBSV2_S_038503,P40_DBTT_LIKE,0.95,4.769375439142353,4.292437895228118,1.6973081674418522e-15,8.398930054582271e-08,,PRODUCTION_WATCHDOG_TIMEOUT
P25_TJBSV2_S_026704,P25_WEAK_T,0.55,2.4751533461048485,2.227638011494364,9.065473560062359e-69,1.5317416315581992e-07,,PRODUCTION_WATCHDOG_TIMEOUT
P25_TJBSV2_S_026704,P25_WEAK_T,0.75,3.375209108324793,3.037688197492314,3.29394575960401e-39,1.5317416315581992e-07,,PRODUCTION_WATCHDOG_TIMEOUT
P25_TJBSV2_S_026704,P25_WEAK_T,0.95,4.275264870544738,3.847738383490264,6.220821820040785e-16,1.5317416315581992e-07,,PRODUCTION_WATCHDOG_TIMEOUT
P40_TJBSV2_S_038278,P40_WEAK_T,0.55,3.7197721396309196,3.3477949256678277,4.0549502454657226e-78,8.398930054582271e-08,,PRODUCTION_WATCHDOG_TIMEOUT
P40_TJBSV2_S_038278,P40_WEAK_T,0.75,5.072416554042163,4.565174898637947,8.494488957604024e-48,8.398930054582271e-08,,PRODUCTION_WATCHDOG_TIMEOUT
P40_TJBSV2_S_038278,P40_WEAK_T,0.95,6.425060968453406,5.782554871608065,1.7973931942133487e-14,8.398930054582271e-08,,PRODUCTION_WATCHDOG_TIMEOUT
