candidate_id,temperature_K,radius_m,backstress_Pa,total_shield_Pa_sqrt_m
P25_TJBSV2_S_002987,300.0,1.0000000170959713e-06,170066.49408427117,1.1937619209090516e-47
P25_TJBSV2_S_002987,375.0,1.436620295356378e-06,859456354.4408461,1.5666334682484023e-16
P25_TJBSV2_S_002987,450.0,2.0250323341664816e-06,1316863165.314433,8.72646047023869e-08
P25_TJBSV2_S_002987,525.0,2.2833213612454508e-06,1473462298.994176,0.0018712326492782
P25_TJBSV2_S_002987,600.0,2.4126254328026047e-06,1545042584.376138,0.6351629612496701
P25_TJBSV2_S_002987,675.0,2.5373007500681855e-06,1567313025.0355122,35.23489454308027
P25_TJBSV2_S_002987,750.0,3.071778376426206e-06,1537626294.6509798,404.7004160732099
P25_TJBSV2_S_002987,825.0,4.359409371710193e-06,1518048948.6532364,2313.837306365269
P25_TJBSV2_S_002987,900.0,5.8217159064694405e-06,1529368860.3549502,9117.35876090528
P25_TJBSV2_S_002987,975.0,6.238593266198708e-06,1574592927.8105454,19069.452747859395
P25_TJBSV2_S_002987,1050.0,5.836497427863701e-06,1601222301.6362956,24618.441768775236
P25_TJBSV2_S_002987,1125.0,5.286555377443495e-06,1616414551.7577586,27115.91182974768
P25_TJBSV2_S_002987,1200.0,4.794162266356322e-06,1622768742.7461736,28440.17800156506
P40_TJBSV2_S_038503,300.0,1.0027106898453174e-06,67719194.20816946,1.1345327948819794e-39
P40_TJBSV2_S_038503,375.0,1.3158153081876932e-06,730951322.1858015,5.4380951288935564e-17
P40_TJBSV2_S_038503,450.0,2.5791066074271227e-06,1634472389.4558587,1.4202372831448285e-05
P40_TJBSV2_S_038503,525.0,3.714262114628423e-06,2138077679.4804533,4.463557343220581
P40_TJBSV2_S_038503,600.0,5.92956729546634e-06,2291792072.350746,972.4170177579354
P40_TJBSV2_S_038503,675.0,1.350817237786595e-05,2404880045.3611436,20621.802514417264
P40_TJBSV2_S_038503,750.0,1.712875488031949e-05,2741343253.52261,73441.26291026972
P40_TJBSV2_S_038503,825.0,1.6415690840904513e-05,2931016445.758616,92363.93887903114
P40_TJBSV2_S_038503,900.0,1.5392809057552766e-05,3053448291.9578586,104276.7741469043
P40_TJBSV2_S_038503,975.0,1.4357603752806484e-05,3153874438.87808,113900.2108425366
P40_TJBSV2_S_038503,1050.0,1.3393019147029557e-05,3235450388.8593793,120936.71745021276
P40_TJBSV2_S_038503,1125.0,1.2573265010073791e-05,3301014146.8860893,125871.55575102668
P40_TJBSV2_S_038503,1200.0,1.1911272905122484e-05,3354993130.3390794,129177.20611525267
P25_TJBSV2_S_026704,300.0,1.000088472669352e-06,12234224.138029415,2.1338008808695576e-42
P25_TJBSV2_S_026704,375.0,1.0000000123529751e-06,144563.16675820053,9.072096835828216e-37
P25_TJBSV2_S_026704,450.0,1.0000000125747498e-06,145855.07421500955,1.4083194319847635e-30
P25_TJBSV2_S_026704,525.0,1.0000000126733162e-06,146425.59659030646,3.620441364090308e-26
P25_TJBSV2_S_026704,600.0,1.000000012747241e-06,146852.0338084777,7.1753343901326e-23
P25_TJBSV2_S_026704,675.0,1.0000000127965242e-06,147135.63866343282,2.6172449148004974e-20
P25_TJBSV2_S_026704,750.0,1.0000000128211658e-06,147277.2362943131,2.9485958762619322e-18
P25_TJBSV2_S_026704,825.0,1.0000000128458073e-06,147418.6979185661,1.3961812571448614e-16
P25_TJBSV2_S_026704,900.0,1.0000000128458073e-06,147418.6979115701,3.5141329284904433e-15
P25_TJBSV2_S_026704,975.0,1.000000012870449e-06,147560.0238093092,5.2890985237565287e-14
P25_TJBSV2_S_026704,1050.0,1.000000012870449e-06,147560.02260482384,5.465418308349072e-13
P25_TJBSV2_S_026704,1125.0,1.0000000128950906e-06,147701.20419620944,4.066675726918485e-12
P25_TJBSV2_S_026704,1200.0,1.0000000128950906e-06,147701.14924021787,2.3865529669547545e-11
P40_TJBSV2_S_038278,300.0,1.115120974404828e-06,441315413.3154642,3.4840833248536376e-35
P40_TJBSV2_S_038278,375.0,1.000000026583504e-06,212069.38647936523,3.6724881127720256e-33
P40_TJBSV2_S_038278,450.0,1.0000000266011296e-06,212139.67875841015,2.1541748101825077e-27
P40_TJBSV2_S_038278,525.0,1.0000000272611485e-06,214755.32408457395,2.5267924070511147e-23
P40_TJBSV2_S_038278,600.0,1.0000000269228397e-06,213418.61554032983,2.793162693313632e-20
P40_TJBSV2_S_038278,675.0,1.0000000274747088e-06,215594.86694486317,6.534880339390106e-18
P40_TJBSV2_S_038278,750.0,1.000000027586965e-06,216034.85692138816,9.270878953267464e-16
P40_TJBSV2_S_038278,825.0,1.0000000278812954e-06,217184.25669516737,3.3179088082488664e-14
P40_TJBSV2_S_038278,900.0,1.0000000281017008e-06,218041.00154344965,6.30282498906704e-13
P40_TJBSV2_S_038278,975.0,1.000000027767499e-06,216740.57315387932,7.520060094315414e-12
P40_TJBSV2_S_038278,1050.0,1.000000027844162e-06,217039.42203527305,6.299573892782781e-11
P40_TJBSV2_S_038278,1125.0,1.000000028398769e-06,219189.30739911777,4.0384745511183574e-10
P40_TJBSV2_S_038278,1200.0,1.000000028520608e-06,219653.7592877283,3.2046167863959232e-09
P25_TJBSV2_S_004127,300.0,1.0000000613216663e-06,322091.1874005071,8.798847945053554e-47
P25_TJBSV2_S_004127,375.0,1.0000000066845496e-06,106342.76442439244,1.379117980640847e-38
P25_TJBSV2_S_004127,450.0,1.0000000057411524e-06,98553.35454802308,1.984613626217724e-32
P25_TJBSV2_S_004127,525.0,1.000000005708297e-06,98270.94927565363,5.0481759761865165e-28
P25_TJBSV2_S_004127,600.0,1.0000000050676151e-06,92592.0469400387,9.352356422781816e-25
P25_TJBSV2_S_004127,675.0,1.000000004814183e-06,90247.08277450984,4.2204818810364413e-22
P25_TJBSV2_S_004127,750.0,1.0000000045883016e-06,88104.45180759556,3.1186158805845723e-20
P25_TJBSV2_S_004127,825.0,1.0000000039871492e-06,82130.24338034466,1.989724979425968e-18
P25_TJBSV2_S_004127,900.0,1.000000003733717e-06,79477.20220915576,3.79783697441678e-17
P25_TJBSV2_S_004127,975.0,1.0000000032176122e-06,73780.01214565506,5.546111542182155e-16
P25_TJBSV2_S_004127,1050.0,1.0000000026287805e-06,66688.20525631953,3.8061022771647065e-15
P25_TJBSV2_S_004127,1125.0,1.0000000020247187e-06,58526.72581855463,1.9392632197085285e-14
P25_TJBSV2_S_004127,1200.0,1.0000000008071838e-06,36953.71310388931,2.9524910059771975e-14
P40_TJBSV2_S_031027,300.0,1.0206666361209314e-06,186984997.90218043,6.645425516186877e-38
P40_TJBSV2_S_031027,375.0,1.0000324631121904e-06,7410831.583056293,1.6054608139814907e-32
P40_TJBSV2_S_031027,450.0,1.0000000315754828e-06,231124.97034497332,7.82767772350805e-30
P40_TJBSV2_S_031027,525.0,1.0000000130429402e-06,148545.54123430804,3.996458004325803e-26
P40_TJBSV2_S_031027,600.0,1.0000000123897664e-06,144778.28542892844,3.6256618291741394e-23
P40_TJBSV2_S_031027,675.0,1.0000000114848718e-06,139391.0680269862,1.1980588405609274e-20
P40_TJBSV2_S_031027,750.0,1.000000010207444e-06,131410.59224379246,9.364165369141817e-19
P40_TJBSV2_S_031027,825.0,1.000000008950551e-06,123054.28800984209,2.8699778007894967e-17
P40_TJBSV2_S_031027,900.0,1.000000007926384e-06,115800.2305930855,4.707267737241179e-16
P40_TJBSV2_S_031027,975.0,1.0000000065433735e-06,105213.8065590958,4.405561453299464e-15
P40_TJBSV2_S_031027,1050.0,1.0000000048052848e-06,90163.63938707412,2.5496396710324246e-14
P40_TJBSV2_S_031027,1125.0,1.0000000017712869e-06,54741.45040194673,2.9873360457770964e-14
P40_TJBSV2_S_031027,1200.0,1.0000000000580105e-06,9906.60846319057,2.6439072945597175e-16
