F1B_F2R_class,candidate_id,production_class,production_role,transfer_status,reproduced
DBTT_LIKE_PROVISIONAL_COUPLED_MODEL_RESPONSE_CLASS,P25_TJBSV2_S_002987,DBTT_LIKE_PROVISIONAL_COUPLED_MODEL_RESPONSE_CLASS,P25_DBTT_LIKE,PRODUCTION_1D_RESPONSE_TOPOLOGY_REPRODUCED,1
DBTT_LIKE_PROVISIONAL_COUPLED_MODEL_RESPONSE_CLASS,P40_TJBSV2_S_038503,DBTT_LIKE_PROVISIONAL_COUPLED_MODEL_RESPONSE_CLASS,P40_DBTT_LIKE,PRODUCTION_1D_RESPONSE_TOPOLOGY_REPRODUCED,1
WEAK_T_PROVISIONAL_COUPLED_MODEL_RESPONSE_CLASS,P25_TJBSV2_S_026704,WEAK_T_PROVISIONAL_COUPLED_MODEL_RESPONSE_CLASS,P25_WEAK_T,PRODUCTION_1D_RESPONSE_TOPOLOGY_REPRODUCED,1
WEAK_T_PROVISIONAL_COUPLED_MODEL_RESPONSE_CLASS,P40_TJBSV2_S_038278,WEAK_T_PROVISIONAL_COUPLED_MODEL_RESPONSE_CLASS,P40_WEAK_T,PRODUCTION_1D_RESPONSE_TOPOLOGY_REPRODUCED,1
CERAMIC_LIKE_PROVISIONAL_COUPLED_MODEL_RESPONSE_CLASS,P25_TJBSV2_S_004127,CERAMIC_LIKE_PROVISIONAL_COUPLED_MODEL_RESPONSE_CLASS,P25_CERAMIC_LIKE,PRODUCTION_1D_RESPONSE_TOPOLOGY_REPRODUCED,1
CERAMIC_LIKE_PROVISIONAL_COUPLED_MODEL_RESPONSE_CLASS,P40_TJBSV2_S_031027,CERAMIC_LIKE_PROVISIONAL_COUPLED_MODEL_RESPONSE_CLASS,P40_CERAMIC_LIKE,PRODUCTION_1D_RESPONSE_TOPOLOGY_REPRODUCED,1
ACCESSIBLE_UNCLASSIFIED_COUPLED_CONTROL,P25_TJBSV2_S_064036,ACCESSIBLE_UNCLASSIFIED_COUPLED_CONTROL,P25_ACCESSIBLE_CONTROL,PRODUCTION_1D_RESPONSE_TOPOLOGY_REPRODUCED,1
ACCESSIBLE_UNCLASSIFIED_COUPLED_CONTROL,P40_TJBSV2_S_043821,ACCESSIBLE_UNCLASSIFIED_COUPLED_CONTROL,P40_ACCESSIBLE_CONTROL,PRODUCTION_1D_RESPONSE_TOPOLOGY_REPRODUCED,1
