trajectory,event_index,blocks_to_fire,waiting_time_s_this_event,cumulative_time_s,accepted_length_m,cumulative_extension_m,pre_event_max_pB,pre_event_K_rebond_Pa_sqrt_m,max_pB_post_commit,max_K_rebond_post_commit_Pa_sqrt_m,max_phase_resolved_K_rebond_Pa_sqrt_m,action_weighted_K_rebond_Pa_sqrt_m,cleavage_action,hazard_threshold_action,hazard_event_index,engine_id,any_bulk_action_used,all_bulk_action_qualified,mpz_mobile_count,mpz_retained_count,mpz_emitted_total,mpz_escaped_total,mpz_recovered_total,r_eff,sigma_tip,mpz_total_K_shield_Pa_sqrt_m
C0,0,1,0.0009992553546444478,0.0009992553546444478,4.9999999999999996e-06,4.9999999999999996e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4332087756327596,1,1,False,True,0.0015297101596055838,1.1582282517924678e-46,0.0015297101596055838,0.0,0.0,1e-06,7180961047.225788,0.0
C0,1,3,0.0057646553513144355,0.006763910705958883,4.9999999999999996e-06,9.999999999999999e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004735693787404665,2,1,False,True,0.008480829453382258,3.630534450755024e-45,0.010010539612987838,0.0,0.0,1e-06,7180961047.225788,0.0
C0,2,1,6.301728882078615e-05,0.006826927994779669,4.9999999999999996e-06,1.4999999999999999e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4743474603364672,3,1,False,True,9.859660905839087e-05,4.757316364414931e-49,0.010109136222046214,0.0,0.0,1e-06,7180961047.225788,0.0
C0,3,3,0.006312082717200264,0.013139010711979933,4.9999999999999996e-06,1.9999999999999998e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.063242955769338,4,1,False,True,0.009257415110522563,4.332335996873173e-45,0.019366551332568777,0.0,0.0,1e-06,7180961047.225788,0.0
C0,4,6,0.014148441904877237,0.02728745261685717,4.9999999999999996e-06,2.4999999999999998e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9401919556857865,5,1,False,True,0.020051580941652037,2.064437844536932e-44,0.039418132274220835,0.0,0.0,1e-06,7180961047.225788,0.0
C0,5,209,0.05243164478691259,0.07971909740376976,4.9999999999999996e-06,2.9999999999999997e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.685684778076526,6,1,False,True,0.06787579418748471,2.4492016914018984e-43,0.10729392646170559,0.0,0.0,1e-06,7180961047.225788,0.0
C0,6,253,0.06235182514725782,0.14207092255102757,4.9999999999999996e-06,3.5e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8521657919641812,7,1,False,True,0.07941074839083911,3.3693034954585574e-43,0.18670467485254477,0.0,0.0,1e-06,7180961047.225788,0.0
C1,0,1,0.0009992553546444478,0.0009992553546444478,4.9999999999999996e-06,4.9999999999999996e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4332087756327596,1,1,False,True,0.0015297101596055838,1.1582282517924678e-46,0.0015297101596055838,0.0,0.0,1e-06,7180961047.225788,0.0
C1,1,3,0.0057646553513144355,0.006763910705958883,4.9999999999999996e-06,9.999999999999999e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004735693787404665,2,1,False,True,0.008480829453382258,3.630534450755024e-45,0.010010539612987838,0.0,0.0,1e-06,7180961047.225788,0.0
C1,2,1,6.301728882078615e-05,0.006826927994779669,4.9999999999999996e-06,1.4999999999999999e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4743474603364672,3,1,False,True,9.859660905839087e-05,4.757316364414931e-49,0.010109136222046214,0.0,0.0,1e-06,7180961047.225788,0.0
C1,3,3,0.006312082717200264,0.013139010711979933,4.9999999999999996e-06,1.9999999999999998e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.063242955769338,4,1,False,True,0.009257415110522563,4.332335996873173e-45,0.019366551332568777,0.0,0.0,1e-06,7180961047.225788,0.0
C1,4,6,0.014148441904877237,0.02728745261685717,4.9999999999999996e-06,2.4999999999999998e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9401919556857865,5,1,False,True,0.020051580941652037,2.064437844536932e-44,0.039418132274220835,0.0,0.0,1e-06,7180961047.225788,0.0
C1,5,209,0.05243164478691259,0.07971909740376976,4.9999999999999996e-06,2.9999999999999997e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.685684778076526,6,1,False,True,0.06787579418748471,2.4492016914018984e-43,0.10729392646170559,0.0,0.0,1e-06,7180961047.225788,0.0
C1,6,253,0.06235182514725782,0.14207092255102757,4.9999999999999996e-06,3.5e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8521657919641812,7,1,False,True,0.07941074839083911,3.3693034954585574e-43,0.18670467485254477,0.0,0.0,1e-06,7180961047.225788,0.0
C2P,0,1,0.0009992553546444478,0.0009992553546444478,4.9999999999999996e-06,4.9999999999999996e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.997793062510415,0.4332087756327596,1,1,False,True,0.0015297101596055838,1.1582282517924678e-46,0.0015297101596055838,0.0,0.0,1e-06,7180961047.225788,0.0
C2P,1,3,0.0057646553513144355,0.006763910705958883,4.9999999999999996e-06,9.999999999999999e-06,0.997047228558997,0.0,0.9140253580197862,0.0,0.0,0.0,0.17347104649539996,0.004735693787404665,2,1,False,True,0.00848082945573226,3.630534479920177e-45,0.01001053961533785,0.0,0.0,1e-06,7180961047.225788,0.0
C2P,2,1,6.301728882078615e-05,0.006826927994779669,4.9999999999999996e-06,1.4999999999999999e-05,0.9110127062613423,0.0,0.9505646861344753,0.0,0.0,0.0,2.7799499329600576e-72,0.4743474603364672,3,1,False,True,9.859660877649394e-05,4.75731513036115e-49,0.010109136224114334,0.0,0.0,1e-06,7180961047.225788,0.0
C2P,3,3,0.006312082717200262,0.013139010711979931,4.9999999999999996e-06,1.9999999999999998e-05,0.9999830799262447,0.0,0.9999777427992864,0.0,0.0,0.0,0.1584307998582429,1.063242955769338,4,1,False,True,0.009257415116317254,4.3323360117415237e-45,0.0193665513404316,0.0,0.0,1e-06,7180961047.225788,0.0
C2P,4,6,0.014148441904877242,0.027287452616857173,4.9999999999999996e-06,2.4999999999999998e-05,0.9942790130547735,0.0,0.9999722903116784,0.0,0.0,0.0,0.0706811957262906,3.9401919556857865,5,1,False,True,0.020051579980853024,2.0644352807175474e-44,0.03941813132128462,0.0,0.0,1e-06,7180961047.225788,0.0
C2P,5,185,0.052431644786912514,0.07971909740376969,4.9999999999999996e-06,2.9999999999999997e-05,0.9419867789425063,0.0,0.9419867307595792,0.0,0.0,0.0,1.963994396595307e-08,4.685684778076526,6,1,False,True,0.0678760111406046,2.449321268160276e-43,0.10729414246188926,0.0,0.0,1e-06,7180961047.225788,0.0
C2P,6,43,0.062351825147257775,0.14207092255102746,4.9999999999999996e-06,3.5e-05,0.9928622366664186,0.0,0.9999926325917055,0.0,0.0,0.0,1.284124479174759e-74,0.8521657919641812,7,1,False,True,0.07941103189815454,3.3694753651954123e-43,0.1867051743600438,0.0,0.0,1e-06,7180961047.225788,0.0
C2R,0,1,0.0009992553546444478,0.0009992553546444478,4.9999999999999996e-06,4.9999999999999996e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.997793062510415,0.4332087756327596,1,1,False,True,0.0015297101596055838,1.1582282517924678e-46,0.0015297101596055838,0.0,0.0,1e-06,7180961047.225788,0.0
C2R,1,3,0.0057646553513144355,0.006763910705958883,4.9999999999999996e-06,9.999999999999999e-06,0.7079786947919507,0.0,0.2967873107274312,0.0,0.0,0.0,0.17347104649539996,0.004735693787404665,2,1,False,True,0.00848082945573226,3.630534479920177e-45,0.01001053961533785,0.0,0.0,1e-06,7180961047.225788,0.0
C2R,2,1,6.301728882078615e-05,0.006826927994779669,4.9999999999999996e-06,1.4999999999999999e-05,0.2721058158233912,0.0,0.3136602075025314,0.0,0.0,0.0,2.7799499329600576e-72,0.4743474603364672,3,1,False,True,9.859660877649394e-05,4.75731513036115e-49,0.010109136224114334,0.0,0.0,1e-06,7180961047.225788,0.0
C2R,3,3,0.006312082717200262,0.013139010711979931,4.9999999999999996e-06,1.9999999999999998e-05,0.6912631558357359,0.0,0.6823857837496093,0.0,0.0,0.0,0.1584307998582429,1.063242955769338,4,1,False,True,0.009257415116317254,4.3323360117415237e-45,0.0193665513404316,0.0,0.0,1e-06,7180961047.225788,0.0
C2R,4,6,0.014148441904877242,0.027287452616857173,4.9999999999999996e-06,2.4999999999999998e-05,0.6911182242593756,0.0,0.6770028427861083,0.0,0.0,0.0,0.0706811957262906,3.9401919556857865,5,1,False,True,0.020051579980853024,2.0644352807175474e-44,0.03941813132128462,0.0,0.0,1e-06,7180961047.225788,0.0
C2R,5,185,0.052431644786912514,0.07971909740376969,4.9999999999999996e-06,2.9999999999999997e-05,0.40322618061769416,0.0,0.40322597436625207,0.0,0.0,0.0,1.963994396595307e-08,4.685684778076526,6,1,False,True,0.0678760111406046,2.449321268160276e-43,0.10729414246188926,0.0,0.0,1e-06,7180961047.225788,0.0
C2R,6,43,0.062351825147257775,0.14207092255102746,4.9999999999999996e-06,3.5e-05,0.43544168478212586,0.0,0.7161531571948461,0.0,0.0,0.0,1.284124479174759e-74,0.8521657919641812,7,1,False,True,0.07941103189815454,3.3694753651954123e-43,0.1867051743600438,0.0,0.0,1e-06,7180961047.225788,0.0
