index,event,accepted
0,AVAILABLE_SITE,True
1,EMBRYO_BIRTH_AND_STABILIZATION,True
2,PROMOTION,True
3,LIGAMENT_RUPTURE,True
4,DOWNSTREAM_NUCLEATION,True
5,CONTINUED_SHARP_FRONT_GROWTH,True
