case,ligament_over_R,offset_over_R,status
circular_hole,NA,0,PASS
crack_only_control,INF,0,UNCHANGED_CODE_PATH
far_void,20,0,ANALYTIC_LIMIT_PASS
centered_interaction,4,0,PASS
offset_positive,4,1,MIRROR_PAIR
offset_negative,4,-1,MIRROR_PAIR
